variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha,logprobs_json
v9_lista_completa_meio_△○,0.0,000000000,△△△△△△△△△,0,0,null
v9_lista_completa_meio_△○,0.0,000000001,△△△△△△△△○,1,0,null
v9_lista_completa_meio_△○,0.0,000000010,△△△△△△△○△,1,0,null
v9_lista_completa_meio_△○,0.0,000000011,△△△△△△△○○,2,0,null
v9_lista_completa_meio_△○,0.0,000000100,△△△△△△○△△,1,0,null
v9_lista_completa_meio_△○,0.0,000000101,△△△△△△○△○,2,0,null
v9_lista_completa_meio_△○,0.0,000000110,△△△△△△○○△,2,0,null
v9_lista_completa_meio_△○,0.0,000000111,△△△△△△○○○,3,0,null
v9_lista_completa_meio_△○,0.0,000001000,△△△△△○△△△,1,0,null
v9_lista_completa_meio_△○,0.0,000001001,△△△△△○△△○,2,0,null
v9_lista_completa_meio_△○,0.0,000001010,△△△△△○△○△,2,0,null
v9_lista_completa_meio_△○,0.0,000001011,△△△△△○△○○,3,0,null
v9_lista_completa_meio_△○,0.0,000001100,△△△△△○○△△,2,0,null
v9_lista_completa_meio_△○,0.0,000001101,△△△△△○○△○,3,0,null
v9_lista_completa_meio_△○,0.0,000001110,△△△△△○○○△,3,0,null
v9_lista_completa_meio_△○,0.0,000001111,△△△△△○○○○,4,0,null
v9_lista_completa_meio_△○,0.0,000010000,△△△△○△△△△,1,0,null
v9_lista_completa_meio_△○,0.0,000010001,△△△△○△△△○,2,0,null
v9_lista_completa_meio_△○,0.0,000010010,△△△△○△△○△,2,0,null
v9_lista_completa_meio_△○,0.0,000010011,△△△△○△△○○,3,0,null
v9_lista_completa_meio_△○,0.0,000010100,△△△△○△○△△,2,0,null
v9_lista_completa_meio_△○,0.0,000010101,△△△△○△○△○,3,0,null
v9_lista_completa_meio_△○,0.0,000010110,△△△△○△○○△,3,0,null
v9_lista_completa_meio_△○,0.0,000010111,△△△△○△○○○,4,0,null
v9_lista_completa_meio_△○,0.0,000011000,△△△△○○△△△,2,0,null
v9_lista_completa_meio_△○,0.0,000011001,△△△△○○△△○,3,0,null
v9_lista_completa_meio_△○,0.0,000011010,△△△△○○△○△,3,0,null
v9_lista_completa_meio_△○,0.0,000011011,△△△△○○△○○,4,0,null
v9_lista_completa_meio_△○,0.0,000011100,△△△△○○○△△,3,0,null
v9_lista_completa_meio_△○,0.0,000011101,△△△△○○○△○,4,0,null
v9_lista_completa_meio_△○,0.0,000011110,△△△△○○○○△,4,0,null
v9_lista_completa_meio_△○,0.0,000011111,△△△△○○○○○,5,1,null
