variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v21_zero_shot_cot_yesno,0.0,000000000,nonononononononono,0,0
v21_zero_shot_cot_yesno,0.0,000000001,nonononononononoyes,1,1
v21_zero_shot_cot_yesno,0.0,000000010,nononononononoyesno,1,0
v21_zero_shot_cot_yesno,0.0,000000011,nononononononoyesyes,2,1
v21_zero_shot_cot_yesno,0.0,000000100,nonononononoyesnono,1,0
v21_zero_shot_cot_yesno,0.0,000000101,nonononononoyesnoyes,2,0
v21_zero_shot_cot_yesno,0.0,000000110,nonononononoyesyesno,2,0
v21_zero_shot_cot_yesno,0.0,000000111,nonononononoyesyesyes,3,1
v21_zero_shot_cot_yesno,0.0,000001000,nononononoyesnonono,1,0
v21_zero_shot_cot_yesno,0.0,000001001,nononononoyesnonoyes,2,0
v21_zero_shot_cot_yesno,0.0,000001010,nononononoyesnoyesno,2,0
v21_zero_shot_cot_yesno,0.0,000001011,nononononoyesnoyesyes,3,0
v21_zero_shot_cot_yesno,0.0,000001100,nononononoyesyesnono,2,0
v21_zero_shot_cot_yesno,0.0,000001101,nononononoyesyesnoyes,3,0
v21_zero_shot_cot_yesno,0.0,000001110,nononononoyesyesyesno,3,0
v21_zero_shot_cot_yesno,0.0,000001111,nononononoyesyesyesyes,4,0
v21_zero_shot_cot_yesno,0.0,000010000,nonononoyesnononono,1,0
v21_zero_shot_cot_yesno,0.0,000010001,nonononoyesnononoyes,2,0
v21_zero_shot_cot_yesno,0.0,000010010,nonononoyesnonoyesno,2,1
v21_zero_shot_cot_yesno,0.0,000010011,nonononoyesnonoyesyes,3,1
v21_zero_shot_cot_yesno,0.0,000010100,nonononoyesnoyesnono,2,0
v21_zero_shot_cot_yesno,0.0,000010101,nonononoyesnoyesnoyes,3,1
v21_zero_shot_cot_yesno,0.0,000010110,nonononoyesnoyesyesno,3,1
v21_zero_shot_cot_yesno,0.0,000010111,nonononoyesnoyesyesyes,4,1
v21_zero_shot_cot_yesno,0.0,000011000,nonononoyesyesnonono,2,0
v21_zero_shot_cot_yesno,0.0,000011001,nonononoyesyesnonoyes,3,1
v21_zero_shot_cot_yesno,0.0,000011010,nonononoyesyesnoyesno,3,0
v21_zero_shot_cot_yesno,0.0,000011011,nonononoyesyesnoyesyes,4,1
v21_zero_shot_cot_yesno,0.0,000011100,nonononoyesyesyesnono,3,0
v21_zero_shot_cot_yesno,0.0,000011101,nonononoyesyesyesnoyes,4,0
v21_zero_shot_cot_yesno,0.0,000011110,nonononoyesyesyesyesno,4,1
v21_zero_shot_cot_yesno,0.0,000011111,nonononoyesyesyesyesyes,5,1
v21_zero_shot_cot_yesno,0.0,000100000,nononoyesnonononono,1,0
v21_zero_shot_cot_yesno,0.0,000100001,nononoyesnonononoyes,2,0
v21_zero_shot_cot_yesno,0.0,000100010,nononoyesnononoyesno,2,0
v21_zero_shot_cot_yesno,0.0,000100011,nononoyesnononoyesyes,3,0
v21_zero_shot_cot_yesno,0.0,000100100,nononoyesnonoyesnono,2,0
v21_zero_shot_cot_yesno,0.0,000100101,nononoyesnonoyesnoyes,3,0
v21_zero_shot_cot_yesno,0.0,000100110,nononoyesnonoyesyesno,3,0
v21_zero_shot_cot_yesno,0.0,000100111,nononoyesnonoyesyesyes,4,0
v21_zero_shot_cot_yesno,0.0,000101000,nononoyesnoyesnonono,2,0
v21_zero_shot_cot_yesno,0.0,000101001,nononoyesnoyesnonoyes,3,0
v21_zero_shot_cot_yesno,0.0,000101010,nononoyesnoyesnoyesno,3,0
v21_zero_shot_cot_yesno,0.0,000101011,nononoyesnoyesnoyesyes,4,1
v21_zero_shot_cot_yesno,0.0,000101100,nononoyesnoyesyesnono,3,0
v21_zero_shot_cot_yesno,0.0,000101101,nononoyesnoyesyesnoyes,4,1
v21_zero_shot_cot_yesno,0.0,000101110,nononoyesnoyesyesyesno,4,1
v21_zero_shot_cot_yesno,0.0,000101111,nononoyesnoyesyesyesyes,5,1
v21_zero_shot_cot_yesno,0.0,000110000,nononoyesyesnononono,2,0
v21_zero_shot_cot_yesno,0.0,000110001,nononoyesyesnononoyes,3,0
v21_zero_shot_cot_yesno,0.0,000110010,nononoyesyesnonoyesno,3,0
v21_zero_shot_cot_yesno,0.0,000110011,nononoyesyesnonoyesyes,4,1
v21_zero_shot_cot_yesno,0.0,000110100,nononoyesyesnoyesnono,3,0
v21_zero_shot_cot_yesno,0.0,000110101,nononoyesyesnoyesnoyes,4,1
v21_zero_shot_cot_yesno,0.0,000110110,nononoyesyesnoyesyesno,4,0
v21_zero_shot_cot_yesno,0.0,000110111,nononoyesyesnoyesyesyes,5,1
v21_zero_shot_cot_yesno,0.0,000111000,nononoyesyesyesnonono,3,1
v21_zero_shot_cot_yesno,0.0,000111001,nononoyesyesyesnonoyes,4,1
v21_zero_shot_cot_yesno,0.0,000111010,nononoyesyesyesnoyesno,4,1
v21_zero_shot_cot_yesno,0.0,000111011,nononoyesyesyesnoyesyes,5,1
v21_zero_shot_cot_yesno,0.0,000111100,nononoyesyesyesyesnono,4,1
v21_zero_shot_cot_yesno,0.0,000111101,nononoyesyesyesyesnoyes,5,1
v21_zero_shot_cot_yesno,0.0,000111110,nononoyesyesyesyesyesno,5,1
v21_zero_shot_cot_yesno,0.0,000111111,nononoyesyesyesyesyesyes,6,1
v21_zero_shot_cot_yesno,0.0,001000000,nonoyesnononononono,1,0
v21_zero_shot_cot_yesno,0.0,001000001,nonoyesnononononoyes,2,1
