variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v9_lista_completa_meio_pq,0.0,000000000,ppppppppp,0,0
v9_lista_completa_meio_pq,0.0,000000001,ppppppppq,1,0
v9_lista_completa_meio_pq,0.0,000000010,pppppppqp,1,0
v9_lista_completa_meio_pq,0.0,000000011,pppppppqq,2,0
v9_lista_completa_meio_pq,0.0,000000100,ppppppqpp,1,0
v9_lista_completa_meio_pq,0.0,000000101,ppppppqpq,2,0
v9_lista_completa_meio_pq,0.0,000000110,ppppppqqp,2,0
v9_lista_completa_meio_pq,0.0,000000111,ppppppqqq,3,0
v9_lista_completa_meio_pq,0.0,000001000,pppppqppp,1,0
v9_lista_completa_meio_pq,0.0,000001001,pppppqppq,2,0
v9_lista_completa_meio_pq,0.0,000001010,pppppqpqp,2,0
v9_lista_completa_meio_pq,0.0,000001011,pppppqpqq,3,0
v9_lista_completa_meio_pq,0.0,000001100,pppppqqpp,2,0
v9_lista_completa_meio_pq,0.0,000001101,pppppqqpq,3,0
v9_lista_completa_meio_pq,0.0,000001110,pppppqqqp,3,0
v9_lista_completa_meio_pq,0.0,000001111,pppppqqqq,4,0
v9_lista_completa_meio_pq,0.0,000010000,ppppqpppp,1,0
v9_lista_completa_meio_pq,0.0,000010001,ppppqpppq,2,0
v9_lista_completa_meio_pq,0.0,000010010,ppppqppqp,2,0
v9_lista_completa_meio_pq,0.0,000010011,ppppqppqq,3,0
v9_lista_completa_meio_pq,0.0,000010100,ppppqpqpp,2,0
v9_lista_completa_meio_pq,0.0,000010101,ppppqpqpq,3,0
v9_lista_completa_meio_pq,0.0,000010110,ppppqpqqp,3,0
v9_lista_completa_meio_pq,0.0,000010111,ppppqpqqq,4,0
v9_lista_completa_meio_pq,0.0,000011000,ppppqqppp,2,0
v9_lista_completa_meio_pq,0.0,000011001,ppppqqppq,3,0
v9_lista_completa_meio_pq,0.0,000011010,ppppqqpqp,3,0
v9_lista_completa_meio_pq,0.0,000011011,ppppqqpqq,4,0
v9_lista_completa_meio_pq,0.0,000011100,ppppqqqpp,3,0
v9_lista_completa_meio_pq,0.0,000011101,ppppqqqpq,4,0
v9_lista_completa_meio_pq,0.0,000011110,ppppqqqqp,4,0
v9_lista_completa_meio_pq,0.0,000011111,ppppqqqqq,5,0
v9_lista_completa_meio_pq,0.0,000100000,pppqppppp,1,0
v9_lista_completa_meio_pq,0.0,000100001,pppqppppq,2,0
v9_lista_completa_meio_pq,0.0,000100010,pppqpppqp,2,0
v9_lista_completa_meio_pq,0.0,000100011,pppqpppqq,3,0
v9_lista_completa_meio_pq,0.0,000100100,pppqppqpp,2,0
v9_lista_completa_meio_pq,0.0,000100101,pppqppqpq,3,0
v9_lista_completa_meio_pq,0.0,000100110,pppqppqqp,3,0
v9_lista_completa_meio_pq,0.0,000100111,pppqppqqq,4,0
v9_lista_completa_meio_pq,0.0,000101000,pppqpqppp,2,0
v9_lista_completa_meio_pq,0.0,000101001,pppqpqppq,3,0
v9_lista_completa_meio_pq,0.0,000101010,pppqpqpqp,3,0
v9_lista_completa_meio_pq,0.0,000101011,pppqpqpqq,4,0
v9_lista_completa_meio_pq,0.0,000101100,pppqpqqpp,3,0
v9_lista_completa_meio_pq,0.0,000101101,pppqpqqpq,4,0
v9_lista_completa_meio_pq,0.0,000101110,pppqpqqqp,4,0
v9_lista_completa_meio_pq,0.0,000101111,pppqpqqqq,5,1
v9_lista_completa_meio_pq,0.0,000110000,pppqqpppp,2,0
v9_lista_completa_meio_pq,0.0,000110001,pppqqpppq,3,0
v9_lista_completa_meio_pq,0.0,000110010,pppqqppqp,3,0
v9_lista_completa_meio_pq,0.0,000110011,pppqqppqq,4,0
v9_lista_completa_meio_pq,0.0,000110100,pppqqpqpp,3,0
v9_lista_completa_meio_pq,0.0,000110101,pppqqpqpq,4,0
v9_lista_completa_meio_pq,0.0,000110110,pppqqpqqp,4,0
v9_lista_completa_meio_pq,0.0,000110111,pppqqpqqq,5,0
v9_lista_completa_meio_pq,0.0,000111000,pppqqqppp,3,0
v9_lista_completa_meio_pq,0.0,000111001,pppqqqppq,4,0
v9_lista_completa_meio_pq,0.0,000111010,pppqqqpqp,4,0
v9_lista_completa_meio_pq,0.0,000111011,pppqqqpqq,5,0
v9_lista_completa_meio_pq,0.0,000111100,pppqqqqpp,4,0
v9_lista_completa_meio_pq,0.0,000111101,pppqqqqpq,5,1
v9_lista_completa_meio_pq,0.0,000111110,pppqqqqqp,5,1
v9_lista_completa_meio_pq,0.0,000111111,pppqqqqqq,6,1
v9_lista_completa_meio_pq,0.0,001000000,ppqpppppp,1,0
v9_lista_completa_meio_pq,0.0,001000001,ppqpppppq,2,0
v9_lista_completa_meio_pq,0.0,001000010,ppqppppqp,2,0
v9_lista_completa_meio_pq,0.0,001000011,ppqppppqq,3,0
v9_lista_completa_meio_pq,0.0,001000100,ppqpppqpp,2,0
v9_lista_completa_meio_pq,0.0,001000101,ppqpppqpq,3,0
v9_lista_completa_meio_pq,0.0,001000110,ppqpppqqp,3,0
v9_lista_completa_meio_pq,0.0,001000111,ppqpppqqq,4,0
v9_lista_completa_meio_pq,0.0,001001000,ppqppqppp,2,0
v9_lista_completa_meio_pq,0.0,001001001,ppqppqppq,3,0
v9_lista_completa_meio_pq,0.0,001001010,ppqppqpqp,3,0
v9_lista_completa_meio_pq,0.0,001001011,ppqppqpqq,4,0
v9_lista_completa_meio_pq,0.0,001001100,ppqppqqpp,3,0
v9_lista_completa_meio_pq,0.0,001001101,ppqppqqpq,4,0
v9_lista_completa_meio_pq,0.0,001001110,ppqppqqqp,4,0
v9_lista_completa_meio_pq,0.0,001001111,ppqppqqqq,5,1
v9_lista_completa_meio_pq,0.0,001010000,ppqpqpppp,2,0
v9_lista_completa_meio_pq,0.0,001010001,ppqpqpppq,3,0
v9_lista_completa_meio_pq,0.0,001010010,ppqpqppqp,3,0
v9_lista_completa_meio_pq,0.0,001010011,ppqpqppqq,4,0
v9_lista_completa_meio_pq,0.0,001010100,ppqpqpqpp,3,0
v9_lista_completa_meio_pq,0.0,001010101,ppqpqpqpq,4,0
v9_lista_completa_meio_pq,0.0,001010110,ppqpqpqqp,4,0
v9_lista_completa_meio_pq,0.0,001010111,ppqpqpqqq,5,0
v9_lista_completa_meio_pq,0.0,001011000,ppqpqqppp,3,0
v9_lista_completa_meio_pq,0.0,001011001,ppqpqqppq,4,0
v9_lista_completa_meio_pq,0.0,001011010,ppqpqqpqp,4,0
v9_lista_completa_meio_pq,0.0,001011011,ppqpqqpqq,5,0
v9_lista_completa_meio_pq,0.0,001011100,ppqpqqqpp,4,1
v9_lista_completa_meio_pq,0.0,001011101,ppqpqqqpq,5,1
v9_lista_completa_meio_pq,0.0,001011110,ppqpqqqqp,5,1
v9_lista_completa_meio_pq,0.0,001011111,ppqpqqqqq,6,1
v9_lista_completa_meio_pq,0.0,001100000,ppqqppppp,2,0
v9_lista_completa_meio_pq,0.0,001100001,ppqqppppq,3,0
v9_lista_completa_meio_pq,0.0,001100010,ppqqpppqp,3,0
v9_lista_completa_meio_pq,0.0,001100011,ppqqpppqq,4,0
v9_lista_completa_meio_pq,0.0,001100100,ppqqppqpp,3,0
v9_lista_completa_meio_pq,0.0,001100101,ppqqppqpq,4,0
v9_lista_completa_meio_pq,0.0,001100110,ppqqppqqp,4,0
v9_lista_completa_meio_pq,0.0,001100111,ppqqppqqq,5,1
v9_lista_completa_meio_pq,0.0,001101000,ppqqpqppp,3,0
v9_lista_completa_meio_pq,0.0,001101001,ppqqpqppq,4,0
v9_lista_completa_meio_pq,0.0,001101010,ppqqpqpqp,4,0
v9_lista_completa_meio_pq,0.0,001101011,ppqqpqpqq,5,1
v9_lista_completa_meio_pq,0.0,001101100,ppqqpqqpp,4,0
v9_lista_completa_meio_pq,0.0,001101101,ppqqpqqpq,5,1
v9_lista_completa_meio_pq,0.0,001101110,ppqqpqqqp,5,1
v9_lista_completa_meio_pq,0.0,001101111,ppqqpqqqq,6,1
v9_lista_completa_meio_pq,0.0,001110000,ppqqqpppp,3,0
v9_lista_completa_meio_pq,0.0,001110001,ppqqqpppq,4,0
v9_lista_completa_meio_pq,0.0,001110010,ppqqqppqp,4,0
v9_lista_completa_meio_pq,0.0,001110011,ppqqqppqq,5,1
v9_lista_completa_meio_pq,0.0,001110100,ppqqqpqpp,4,0
v9_lista_completa_meio_pq,0.0,001110101,ppqqqpqpq,5,1
v9_lista_completa_meio_pq,0.0,001110110,ppqqqpqqp,5,1
v9_lista_completa_meio_pq,0.0,001110111,ppqqqpqqq,6,1
v9_lista_completa_meio_pq,0.0,001111000,ppqqqqppp,4,0
v9_lista_completa_meio_pq,0.0,001111001,ppqqqqppq,5,1
v9_lista_completa_meio_pq,0.0,001111010,ppqqqqpqp,5,1
v9_lista_completa_meio_pq,0.0,001111011,ppqqqqpqq,6,1
v9_lista_completa_meio_pq,0.0,001111100,ppqqqqqpp,5,1
v9_lista_completa_meio_pq,0.0,001111101,ppqqqqqpq,6,1
v9_lista_completa_meio_pq,0.0,001111110,ppqqqqqqp,6,1
v9_lista_completa_meio_pq,0.0,001111111,ppqqqqqqq,7,1
v9_lista_completa_meio_pq,0.0,010000000,pqppppppp,1,0
v9_lista_completa_meio_pq,0.0,010000001,pqppppppq,2,0
v9_lista_completa_meio_pq,0.0,010000010,pqpppppqp,2,0
v9_lista_completa_meio_pq,0.0,010000011,pqpppppqq,3,0
v9_lista_completa_meio_pq,0.0,010000100,pqppppqpp,2,0
v9_lista_completa_meio_pq,0.0,010000101,pqppppqpq,3,0
v9_lista_completa_meio_pq,0.0,010000110,pqppppqqp,3,0
v9_lista_completa_meio_pq,0.0,010000111,pqppppqqq,4,0
v9_lista_completa_meio_pq,0.0,010001000,pqpppqppp,2,0
v9_lista_completa_meio_pq,0.0,010001001,pqpppqppq,3,0
v9_lista_completa_meio_pq,0.0,010001010,pqpppqpqp,3,0
v9_lista_completa_meio_pq,0.0,010001011,pqpppqpqq,4,0
v9_lista_completa_meio_pq,0.0,010001100,pqpppqqpp,3,0
v9_lista_completa_meio_pq,0.0,010001101,pqpppqqpq,4,0
v9_lista_completa_meio_pq,0.0,010001110,pqpppqqqp,4,0
v9_lista_completa_meio_pq,0.0,010001111,pqpppqqqq,5,1
v9_lista_completa_meio_pq,0.0,010010000,pqppqpppp,2,0
v9_lista_completa_meio_pq,0.0,010010001,pqppqpppq,3,0
v9_lista_completa_meio_pq,0.0,010010010,pqppqppqp,3,0
v9_lista_completa_meio_pq,0.0,010010011,pqppqppqq,4,0
v9_lista_completa_meio_pq,0.0,010010100,pqppqpqpp,3,0
v9_lista_completa_meio_pq,0.0,010010101,pqppqpqpq,4,0
v9_lista_completa_meio_pq,0.0,010010110,pqppqpqqp,4,0
v9_lista_completa_meio_pq,0.0,010010111,pqppqpqqq,5,0
v9_lista_completa_meio_pq,0.0,010011000,pqppqqppp,3,0
v9_lista_completa_meio_pq,0.0,010011001,pqppqqppq,4,0
v9_lista_completa_meio_pq,0.0,010011010,pqppqqpqp,4,0
v9_lista_completa_meio_pq,0.0,010011011,pqppqqpqq,5,0
v9_lista_completa_meio_pq,0.0,010011100,pqppqqqpp,4,0
v9_lista_completa_meio_pq,0.0,010011101,pqppqqqpq,5,1
