variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v9_lista_completa_meio_kz,0.0,0000000,kkkkkkk,0,0
v9_lista_completa_meio_kz,0.0,0000001,kkkkkkz,1,0
v9_lista_completa_meio_kz,0.0,0000010,kkkkkzk,1,0
v9_lista_completa_meio_kz,0.0,0000011,kkkkkzz,2,0
v9_lista_completa_meio_kz,0.0,0000100,kkkkzkk,1,0
v9_lista_completa_meio_kz,0.0,0000101,kkkkzkz,2,0
v9_lista_completa_meio_kz,0.0,0000110,kkkkzzk,2,0
v9_lista_completa_meio_kz,0.0,0000111,kkkkzzz,3,0
v9_lista_completa_meio_kz,0.0,0001000,kkkzkkk,1,0
v9_lista_completa_meio_kz,0.0,0001001,kkkzkkz,2,0
v9_lista_completa_meio_kz,0.0,0001010,kkkzkzk,2,0
v9_lista_completa_meio_kz,0.0,0001011,kkkzkzz,3,0
v9_lista_completa_meio_kz,0.0,0001100,kkkzzkk,2,0
v9_lista_completa_meio_kz,0.0,0001101,kkkzzkz,3,0
v9_lista_completa_meio_kz,0.0,0001110,kkkzzzk,3,0
v9_lista_completa_meio_kz,0.0,0001111,kkkzzzz,4,0
v9_lista_completa_meio_kz,0.0,0010000,kkzkkkk,1,0
v9_lista_completa_meio_kz,0.0,0010001,kkzkkkz,2,1
v9_lista_completa_meio_kz,0.0,0010010,kkzkkzk,2,1
v9_lista_completa_meio_kz,0.0,0010011,kkzkkzz,3,1
v9_lista_completa_meio_kz,0.0,0010100,kkzkzkk,2,1
v9_lista_completa_meio_kz,0.0,0010101,kkzkzkz,3,1
v9_lista_completa_meio_kz,0.0,0010110,kkzkzzk,3,1
v9_lista_completa_meio_kz,0.0,0010111,kkzkzzz,4,1
v9_lista_completa_meio_kz,0.0,0011000,kkzzkkk,2,0
v9_lista_completa_meio_kz,0.0,0011001,kkzzkkz,3,0
v9_lista_completa_meio_kz,0.0,0011010,kkzzkzk,3,0
v9_lista_completa_meio_kz,0.0,0011011,kkzzkzz,4,0
v9_lista_completa_meio_kz,0.0,0011100,kkzzzkk,3,0
v9_lista_completa_meio_kz,0.0,0011101,kkzzzkz,4,0
v9_lista_completa_meio_kz,0.0,0011110,kkzzzzk,4,0
v9_lista_completa_meio_kz,0.0,0011111,kkzzzzz,5,0
v9_lista_completa_meio_kz,0.0,0100000,kzkkkkk,1,0
v9_lista_completa_meio_kz,0.0,0100001,kzkkkkz,2,0
v9_lista_completa_meio_kz,0.0,0100010,kzkkkzk,2,0
v9_lista_completa_meio_kz,0.0,0100011,kzkkkzz,3,1
v9_lista_completa_meio_kz,0.0,0100100,kzkkzkk,2,0
v9_lista_completa_meio_kz,0.0,0100101,kzkkzkz,3,1
v9_lista_completa_meio_kz,0.0,0100110,kzkkzzk,3,1
v9_lista_completa_meio_kz,0.0,0100111,kzkkzzz,4,1
v9_lista_completa_meio_kz,0.0,0101000,kzkzkkk,2,0
v9_lista_completa_meio_kz,0.0,0101001,kzkzkkz,3,0
v9_lista_completa_meio_kz,0.0,0101010,kzkzkzk,3,0
v9_lista_completa_meio_kz,0.0,0101011,kzkzkzz,4,1
v9_lista_completa_meio_kz,0.0,0101100,kzkzzkk,3,0
v9_lista_completa_meio_kz,0.0,0101101,kzkzzkz,4,0
v9_lista_completa_meio_kz,0.0,0101110,kzkzzzk,4,1
v9_lista_completa_meio_kz,0.0,0101111,kzkzzzz,5,1
v9_lista_completa_meio_kz,0.0,0110000,kzzkkkk,2,0
v9_lista_completa_meio_kz,0.0,0110001,kzzkkkz,3,0
v9_lista_completa_meio_kz,0.0,0110010,kzzkkzk,3,1
v9_lista_completa_meio_kz,0.0,0110011,kzzkkzz,4,1
v9_lista_completa_meio_kz,0.0,0110100,kzzkzkk,3,1
v9_lista_completa_meio_kz,0.0,0110101,kzzkzkz,4,1
v9_lista_completa_meio_kz,0.0,0110110,kzzkzzk,4,1
v9_lista_completa_meio_kz,0.0,0110111,kzzkzzz,5,1
v9_lista_completa_meio_kz,0.0,0111000,kzzzkkk,3,0
v9_lista_completa_meio_kz,0.0,0111001,kzzzkkz,4,0
v9_lista_completa_meio_kz,0.0,0111010,kzzzkzk,4,0
v9_lista_completa_meio_kz,0.0,0111011,kzzzkzz,5,0
v9_lista_completa_meio_kz,0.0,0111100,kzzzzkk,4,0
v9_lista_completa_meio_kz,0.0,0111101,kzzzzkz,5,0
v9_lista_completa_meio_kz,0.0,0111110,kzzzzzk,5,0
v9_lista_completa_meio_kz,0.0,0111111,kzzzzzz,6,1
v9_lista_completa_meio_kz,0.0,1000000,zkkkkkk,1,0
v9_lista_completa_meio_kz,0.0,1000001,zkkkkkz,2,0
v9_lista_completa_meio_kz,0.0,1000010,zkkkkzk,2,0
v9_lista_completa_meio_kz,0.0,1000011,zkkkkzz,3,0
v9_lista_completa_meio_kz,0.0,1000100,zkkkzkk,2,0
v9_lista_completa_meio_kz,0.0,1000101,zkkkzkz,3,0
v9_lista_completa_meio_kz,0.0,1000110,zkkkzzk,3,0
v9_lista_completa_meio_kz,0.0,1000111,zkkkzzz,4,1
v9_lista_completa_meio_kz,0.0,1001000,zkkzkkk,2,0
v9_lista_completa_meio_kz,0.0,1001001,zkkzkkz,3,0
v9_lista_completa_meio_kz,0.0,1001010,zkkzkzk,3,0
v9_lista_completa_meio_kz,0.0,1001011,zkkzkzz,4,0
v9_lista_completa_meio_kz,0.0,1001100,zkkzzkk,3,0
v9_lista_completa_meio_kz,0.0,1001101,zkkzzkz,4,0
v9_lista_completa_meio_kz,0.0,1001110,zkkzzzk,4,0
v9_lista_completa_meio_kz,0.0,1001111,zkkzzzz,5,1
v9_lista_completa_meio_kz,0.0,1010000,zkzkkkk,2,0
v9_lista_completa_meio_kz,0.0,1010001,zkzkkkz,3,0
v9_lista_completa_meio_kz,0.0,1010010,zkzkkzk,3,0
v9_lista_completa_meio_kz,0.0,1010011,zkzkkzz,4,0
v9_lista_completa_meio_kz,0.0,1010100,zkzkzkk,3,0
v9_lista_completa_meio_kz,0.0,1010101,zkzkzkz,4,1
v9_lista_completa_meio_kz,0.0,1010110,zkzkzzk,4,1
v9_lista_completa_meio_kz,0.0,1010111,zkzkzzz,5,1
v9_lista_completa_meio_kz,0.0,1011000,zkzzkkk,3,0
v9_lista_completa_meio_kz,0.0,1011001,zkzzkkz,4,0
v9_lista_completa_meio_kz,0.0,1011010,zkzzkzk,4,0
v9_lista_completa_meio_kz,0.0,1011011,zkzzkzz,5,0
v9_lista_completa_meio_kz,0.0,1011100,zkzzzkk,4,0
v9_lista_completa_meio_kz,0.0,1011101,zkzzzkz,5,0
v9_lista_completa_meio_kz,0.0,1011110,zkzzzzk,5,0
v9_lista_completa_meio_kz,0.0,1011111,zkzzzzz,6,1
v9_lista_completa_meio_kz,0.0,1100000,zzkkkkk,2,0
v9_lista_completa_meio_kz,0.0,1100001,zzkkkkz,3,1
v9_lista_completa_meio_kz,0.0,1100010,zzkkkzk,3,0
v9_lista_completa_meio_kz,0.0,1100011,zzkkkzz,4,1
v9_lista_completa_meio_kz,0.0,1100100,zzkkzkk,3,1
v9_lista_completa_meio_kz,0.0,1100101,zzkkzkz,4,1
v9_lista_completa_meio_kz,0.0,1100110,zzkkzzk,4,1
v9_lista_completa_meio_kz,0.0,1100111,zzkkzzz,5,1
v9_lista_completa_meio_kz,0.0,1101000,zzkzkkk,3,0
v9_lista_completa_meio_kz,0.0,1101001,zzkzkkz,4,0
v9_lista_completa_meio_kz,0.0,1101010,zzkzkzk,4,0
v9_lista_completa_meio_kz,0.0,1101011,zzkzkzz,5,1
v9_lista_completa_meio_kz,0.0,1101100,zzkzzkk,4,0
v9_lista_completa_meio_kz,0.0,1101101,zzkzzkz,5,0
v9_lista_completa_meio_kz,0.0,1101110,zzkzzzk,5,0
v9_lista_completa_meio_kz,0.0,1101111,zzkzzzz,6,1
v9_lista_completa_meio_kz,0.0,1110000,zzzkkkk,3,0
v9_lista_completa_meio_kz,0.0,1110001,zzzkkkz,4,1
v9_lista_completa_meio_kz,0.0,1110010,zzzkkzk,4,1
v9_lista_completa_meio_kz,0.0,1110011,zzzkkzz,5,1
v9_lista_completa_meio_kz,0.0,1110100,zzzkzkk,4,1
v9_lista_completa_meio_kz,0.0,1110101,zzzkzkz,5,1
v9_lista_completa_meio_kz,0.0,1110110,zzzkzzk,5,1
v9_lista_completa_meio_kz,0.0,1110111,zzzkzzz,6,1
v9_lista_completa_meio_kz,0.0,1111000,zzzzkkk,4,0
v9_lista_completa_meio_kz,0.0,1111001,zzzzkkz,5,0
v9_lista_completa_meio_kz,0.0,1111010,zzzzkzk,5,0
v9_lista_completa_meio_kz,0.0,1111011,zzzzkzz,6,0
v9_lista_completa_meio_kz,0.0,1111100,zzzzzkk,5,0
v9_lista_completa_meio_kz,0.0,1111101,zzzzzkz,6,0
v9_lista_completa_meio_kz,0.0,1111110,zzzzzzk,6,0
v9_lista_completa_meio_kz,0.0,1111111,zzzzzzz,7,1
