variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v21_zero_shot_cot_łþ,0.0,0000000,łłłłłłł,0,0
v21_zero_shot_cot_łþ,0.0,0000001,łłłłłłþ,1,0
v21_zero_shot_cot_łþ,0.0,0000010,łłłłłþł,1,0
v21_zero_shot_cot_łþ,0.0,0000011,łłłłłþþ,2,0
v21_zero_shot_cot_łþ,0.0,0000100,łłłłþłł,1,0
v21_zero_shot_cot_łþ,0.0,0000101,łłłłþłþ,2,0
v21_zero_shot_cot_łþ,0.0,0000110,łłłłþþł,2,0
v21_zero_shot_cot_łþ,0.0,0000111,łłłłþþþ,3,0
v21_zero_shot_cot_łþ,0.0,0001000,łłłþłłł,1,0
v21_zero_shot_cot_łþ,0.0,0001001,łłłþłłþ,2,0
v21_zero_shot_cot_łþ,0.0,0001010,łłłþłþł,2,0
v21_zero_shot_cot_łþ,0.0,0001011,łłłþłþþ,3,0
v21_zero_shot_cot_łþ,0.0,0001100,łłłþþłł,2,0
v21_zero_shot_cot_łþ,0.0,0001101,łłłþþłþ,3,0
v21_zero_shot_cot_łþ,0.0,0001110,łłłþþþł,3,0
v21_zero_shot_cot_łþ,0.0,0001111,łłłþþþþ,4,1
v21_zero_shot_cot_łþ,0.0,0010000,łłþłłłł,1,0
v21_zero_shot_cot_łþ,0.0,0010001,łłþłłłþ,2,0
v21_zero_shot_cot_łþ,0.0,0010010,łłþłłþł,2,0
v21_zero_shot_cot_łþ,0.0,0010011,łłþłłþþ,3,0
v21_zero_shot_cot_łþ,0.0,0010100,łłþłþłł,2,0
v21_zero_shot_cot_łþ,0.0,0010101,łłþłþłþ,3,0
v21_zero_shot_cot_łþ,0.0,0010110,łłþłþþł,3,0
v21_zero_shot_cot_łþ,0.0,0010111,łłþłþþþ,4,0
v21_zero_shot_cot_łþ,0.0,0011000,łłþþłłł,2,0
v21_zero_shot_cot_łþ,0.0,0011001,łłþþłłþ,3,0
v21_zero_shot_cot_łþ,0.0,0011010,łłþþłþł,3,0
v21_zero_shot_cot_łþ,0.0,0011011,łłþþłþþ,4,1
v21_zero_shot_cot_łþ,0.0,0011100,łłþþþłł,3,0
v21_zero_shot_cot_łþ,0.0,0011101,łłþþþłþ,4,0
v21_zero_shot_cot_łþ,0.0,0011110,łłþþþþł,4,1
v21_zero_shot_cot_łþ,0.0,0011111,łłþþþþþ,5,1
v21_zero_shot_cot_łþ,0.0,0100000,łþłłłłł,1,0
v21_zero_shot_cot_łþ,0.0,0100001,łþłłłłþ,2,0
v21_zero_shot_cot_łþ,0.0,0100010,łþłłłþł,2,0
v21_zero_shot_cot_łþ,0.0,0100011,łþłłłþþ,3,0
v21_zero_shot_cot_łþ,0.0,0100100,łþłłþłł,2,0
v21_zero_shot_cot_łþ,0.0,0100101,łþłłþłþ,3,0
v21_zero_shot_cot_łþ,0.0,0100110,łþłłþþł,3,0
v21_zero_shot_cot_łþ,0.0,0100111,łþłłþþþ,4,0
v21_zero_shot_cot_łþ,0.0,0101000,łþłþłłł,2,0
v21_zero_shot_cot_łþ,0.0,0101001,łþłþłłþ,3,0
v21_zero_shot_cot_łþ,0.0,0101010,łþłþłþł,3,0
v21_zero_shot_cot_łþ,0.0,0101011,łþłþłþþ,4,1
v21_zero_shot_cot_łþ,0.0,0101100,łþłþþłł,3,0
v21_zero_shot_cot_łþ,0.0,0101101,łþłþþłþ,4,1
v21_zero_shot_cot_łþ,0.0,0101110,łþłþþþł,4,1
v21_zero_shot_cot_łþ,0.0,0101111,łþłþþþþ,5,1
v21_zero_shot_cot_łþ,0.0,0110000,łþþłłłł,2,0
v21_zero_shot_cot_łþ,0.0,0110001,łþþłłłþ,3,0
v21_zero_shot_cot_łþ,0.0,0110010,łþþłłþł,3,0
v21_zero_shot_cot_łþ,0.0,0110011,łþþłłþþ,4,1
v21_zero_shot_cot_łþ,0.0,0110100,łþþłþłł,3,0
v21_zero_shot_cot_łþ,0.0,0110101,łþþłþłþ,4,0
v21_zero_shot_cot_łþ,0.0,0110110,łþþłþþł,4,1
v21_zero_shot_cot_łþ,0.0,0110111,łþþłþþþ,5,1
v21_zero_shot_cot_łþ,0.0,0111000,łþþþłłł,3,0
v21_zero_shot_cot_łþ,0.0,0111001,łþþþłłþ,4,1
v21_zero_shot_cot_łþ,0.0,0111010,łþþþłþł,4,1
v21_zero_shot_cot_łþ,0.0,0111011,łþþþłþþ,5,1
v21_zero_shot_cot_łþ,0.0,0111100,łþþþþłł,4,1
v21_zero_shot_cot_łþ,0.0,0111101,łþþþþłþ,5,1
v21_zero_shot_cot_łþ,0.0,0111110,łþþþþþł,5,1
v21_zero_shot_cot_łþ,0.0,0111111,łþþþþþþ,6,1
v21_zero_shot_cot_łþ,0.0,1000000,þłłłłłł,1,0
v21_zero_shot_cot_łþ,0.0,1000001,þłłłłłþ,2,0
v21_zero_shot_cot_łþ,0.0,1000010,þłłłłþł,2,0
v21_zero_shot_cot_łþ,0.0,1000011,þłłłłþþ,3,0
v21_zero_shot_cot_łþ,0.0,1000100,þłłłþłł,2,0
v21_zero_shot_cot_łþ,0.0,1000101,þłłłþłþ,3,0
v21_zero_shot_cot_łþ,0.0,1000110,þłłłþþł,3,0
v21_zero_shot_cot_łþ,0.0,1000111,þłłłþþþ,4,0
v21_zero_shot_cot_łþ,0.0,1001000,þłłþłłł,2,0
v21_zero_shot_cot_łþ,0.0,1001001,þłłþłłþ,3,0
v21_zero_shot_cot_łþ,0.0,1001010,þłłþłþł,3,0
v21_zero_shot_cot_łþ,0.0,1001011,þłłþłþþ,4,1
v21_zero_shot_cot_łþ,0.0,1001100,þłłþþłł,3,0
v21_zero_shot_cot_łþ,0.0,1001101,þłłþþłþ,4,1
v21_zero_shot_cot_łþ,0.0,1001110,þłłþþþł,4,1
v21_zero_shot_cot_łþ,0.0,1001111,þłłþþþþ,5,1
v21_zero_shot_cot_łþ,0.0,1010000,þłþłłłł,2,0
v21_zero_shot_cot_łþ,0.0,1010001,þłþłłłþ,3,0
v21_zero_shot_cot_łþ,0.0,1010010,þłþłłþł,3,0
v21_zero_shot_cot_łþ,0.0,1010011,þłþłłþþ,4,1
v21_zero_shot_cot_łþ,0.0,1010100,þłþłþłł,3,0
v21_zero_shot_cot_łþ,0.0,1010101,þłþłþłþ,4,1
v21_zero_shot_cot_łþ,0.0,1010110,þłþłþþł,4,1
v21_zero_shot_cot_łþ,0.0,1010111,þłþłþþþ,5,1
v21_zero_shot_cot_łþ,0.0,1011000,þłþþłłł,3,1
v21_zero_shot_cot_łþ,0.0,1011001,þłþþłłþ,4,1
v21_zero_shot_cot_łþ,0.0,1011010,þłþþłþł,4,1
v21_zero_shot_cot_łþ,0.0,1011011,þłþþłþþ,5,1
v21_zero_shot_cot_łþ,0.0,1011100,þłþþþłł,4,1
v21_zero_shot_cot_łþ,0.0,1011101,þłþþþłþ,5,1
v21_zero_shot_cot_łþ,0.0,1011110,þłþþþþł,5,1
v21_zero_shot_cot_łþ,0.0,1011111,þłþþþþþ,6,1
v21_zero_shot_cot_łþ,0.0,1100000,þþłłłłł,2,0
v21_zero_shot_cot_łþ,0.0,1100001,þþłłłłþ,3,0
v21_zero_shot_cot_łþ,0.0,1100010,þþłłłþł,3,0
v21_zero_shot_cot_łþ,0.0,1100011,þþłłłþþ,4,1
v21_zero_shot_cot_łþ,0.0,1100100,þþłłþłł,3,0
v21_zero_shot_cot_łþ,0.0,1100101,þþłłþłþ,4,1
v21_zero_shot_cot_łþ,0.0,1100110,þþłłþþł,4,1
v21_zero_shot_cot_łþ,0.0,1100111,þþłłþþþ,5,1
v21_zero_shot_cot_łþ,0.0,1101000,þþłþłłł,3,1
v21_zero_shot_cot_łþ,0.0,1101001,þþłþłłþ,4,1
v21_zero_shot_cot_łþ,0.0,1101010,þþłþłþł,4,1
v21_zero_shot_cot_łþ,0.0,1101011,þþłþłþþ,5,1
v21_zero_shot_cot_łþ,0.0,1101100,þþłþþłł,4,1
v21_zero_shot_cot_łþ,0.0,1101101,þþłþþłþ,5,1
v21_zero_shot_cot_łþ,0.0,1101110,þþłþþþł,5,1
v21_zero_shot_cot_łþ,0.0,1101111,þþłþþþþ,6,1
v21_zero_shot_cot_łþ,0.0,1110000,þþþłłłł,3,0
v21_zero_shot_cot_łþ,0.0,1110001,þþþłłłþ,4,1
v21_zero_shot_cot_łþ,0.0,1110010,þþþłłþł,4,1
