variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v9_lista_completa_meio_pq,0.0,00000000000,ppppppppppp,0,0
v9_lista_completa_meio_pq,0.0,00000000001,ppppppppppq,1,0
v9_lista_completa_meio_pq,0.0,00000000010,pppppppppqp,1,0
v9_lista_completa_meio_pq,0.0,00000000011,pppppppppqq,2,0
v9_lista_completa_meio_pq,0.0,00000000100,ppppppppqpp,1,0
v9_lista_completa_meio_pq,0.0,00000000101,ppppppppqpq,2,0
v9_lista_completa_meio_pq,0.0,00000000110,ppppppppqqp,2,0
v9_lista_completa_meio_pq,0.0,00000000111,ppppppppqqq,3,0
v9_lista_completa_meio_pq,0.0,00000001000,pppppppqppp,1,0
v9_lista_completa_meio_pq,0.0,00000001001,pppppppqppq,2,0
v9_lista_completa_meio_pq,0.0,00000001010,pppppppqpqp,2,0
v9_lista_completa_meio_pq,0.0,00000001011,pppppppqpqq,3,0
v9_lista_completa_meio_pq,0.0,00000001100,pppppppqqpp,2,0
v9_lista_completa_meio_pq,0.0,00000001101,pppppppqqpq,3,0
v9_lista_completa_meio_pq,0.0,00000001110,pppppppqqqp,3,0
v9_lista_completa_meio_pq,0.0,00000001111,pppppppqqqq,4,0
v9_lista_completa_meio_pq,0.0,00000010000,ppppppqpppp,1,0
v9_lista_completa_meio_pq,0.0,00000010001,ppppppqpppq,2,0
v9_lista_completa_meio_pq,0.0,00000010010,ppppppqppqp,2,0
v9_lista_completa_meio_pq,0.0,00000010011,ppppppqppqq,3,0
v9_lista_completa_meio_pq,0.0,00000010100,ppppppqpqpp,2,0
v9_lista_completa_meio_pq,0.0,00000010101,ppppppqpqpq,3,0
v9_lista_completa_meio_pq,0.0,00000010110,ppppppqpqqp,3,0
v9_lista_completa_meio_pq,0.0,00000010111,ppppppqpqqq,4,0
v9_lista_completa_meio_pq,0.0,00000011000,ppppppqqppp,2,0
v9_lista_completa_meio_pq,0.0,00000011001,ppppppqqppq,3,0
v9_lista_completa_meio_pq,0.0,00000011010,ppppppqqpqp,3,0
v9_lista_completa_meio_pq,0.0,00000011011,ppppppqqpqq,4,0
v9_lista_completa_meio_pq,0.0,00000011100,ppppppqqqpp,3,0
v9_lista_completa_meio_pq,0.0,00000011101,ppppppqqqpq,4,0
v9_lista_completa_meio_pq,0.0,00000011110,ppppppqqqqp,4,0
v9_lista_completa_meio_pq,0.0,00000011111,ppppppqqqqq,5,0
v9_lista_completa_meio_pq,0.0,00000100000,pppppqppppp,1,1
v9_lista_completa_meio_pq,0.0,00000100001,pppppqppppq,2,1
v9_lista_completa_meio_pq,0.0,00000100010,pppppqpppqp,2,1
v9_lista_completa_meio_pq,0.0,00000100011,pppppqpppqq,3,1
v9_lista_completa_meio_pq,0.0,00000100100,pppppqppqpp,2,1
v9_lista_completa_meio_pq,0.0,00000100101,pppppqppqpq,3,1
v9_lista_completa_meio_pq,0.0,00000100110,pppppqppqqp,3,1
v9_lista_completa_meio_pq,0.0,00000100111,pppppqppqqq,4,1
v9_lista_completa_meio_pq,0.0,00000101000,pppppqpqppp,2,1
v9_lista_completa_meio_pq,0.0,00000101001,pppppqpqppq,3,1
v9_lista_completa_meio_pq,0.0,00000101010,pppppqpqpqp,3,1
v9_lista_completa_meio_pq,0.0,00000101011,pppppqpqpqq,4,1
v9_lista_completa_meio_pq,0.0,00000101100,pppppqpqqpp,3,1
v9_lista_completa_meio_pq,0.0,00000101101,pppppqpqqpq,4,1
v9_lista_completa_meio_pq,0.0,00000101110,pppppqpqqqp,4,1
v9_lista_completa_meio_pq,0.0,00000101111,pppppqpqqqq,5,1
