variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha,logprobs_json
v9_lista_completa_meio_αβ,0.0,0000000,ααααααα,0,0,null
v9_lista_completa_meio_αβ,0.0,0000001,ααααααβ,1,0,null
v9_lista_completa_meio_αβ,0.0,0000010,αααααβα,1,0,null
v9_lista_completa_meio_αβ,0.0,0000011,αααααββ,2,0,null
v9_lista_completa_meio_αβ,0.0,0000100,ααααβαα,1,0,null
v9_lista_completa_meio_αβ,0.0,0000101,ααααβαβ,2,0,null
v9_lista_completa_meio_αβ,0.0,0000110,ααααββα,2,0,null
v9_lista_completa_meio_αβ,0.0,0000111,ααααβββ,3,0,null
v9_lista_completa_meio_αβ,0.0,0001000,αααβααα,1,0,null
v9_lista_completa_meio_αβ,0.0,0001001,αααβααβ,2,0,null
v9_lista_completa_meio_αβ,0.0,0001010,αααβαβα,2,0,null
v9_lista_completa_meio_αβ,0.0,0001011,αααβαββ,3,0,null
v9_lista_completa_meio_αβ,0.0,0001100,αααββαα,2,0,null
v9_lista_completa_meio_αβ,0.0,0001101,αααββαβ,3,0,null
v9_lista_completa_meio_αβ,0.0,0001110,αααβββα,3,0,null
v9_lista_completa_meio_αβ,0.0,0001111,αααββββ,4,1,null
v9_lista_completa_meio_αβ,0.0,0010000,ααβαααα,1,0,null
v9_lista_completa_meio_αβ,0.0,0010001,ααβαααβ,2,0,null
v9_lista_completa_meio_αβ,0.0,0010010,ααβααβα,2,0,null
v9_lista_completa_meio_αβ,0.0,0010011,ααβααββ,3,1,null
v9_lista_completa_meio_αβ,0.0,0010100,ααβαβαα,2,0,null
v9_lista_completa_meio_αβ,0.0,0010101,ααβαβαβ,3,1,null
v9_lista_completa_meio_αβ,0.0,0010110,ααβαββα,3,1,null
v9_lista_completa_meio_αβ,0.0,0010111,ααβαβββ,4,1,null
v9_lista_completa_meio_αβ,0.0,0011000,ααββααα,2,0,null
v9_lista_completa_meio_αβ,0.0,0011001,ααββααβ,3,0,null
v9_lista_completa_meio_αβ,0.0,0011010,ααββαβα,3,0,null
v9_lista_completa_meio_αβ,0.0,0011011,ααββαββ,4,1,null
v9_lista_completa_meio_αβ,0.0,0011100,ααβββαα,3,1,null
v9_lista_completa_meio_αβ,0.0,0011101,ααβββαβ,4,1,null
v9_lista_completa_meio_αβ,0.0,0011110,ααββββα,4,1,null
v9_lista_completa_meio_αβ,0.0,0011111,ααβββββ,5,1,null
v9_lista_completa_meio_αβ,0.0,0100000,αβααααα,1,0,null
v9_lista_completa_meio_αβ,0.0,0100001,αβααααβ,2,0,null
v9_lista_completa_meio_αβ,0.0,0100010,αβαααβα,2,0,null
v9_lista_completa_meio_αβ,0.0,0100011,αβαααββ,3,0,null
v9_lista_completa_meio_αβ,0.0,0100100,αβααβαα,2,0,null
v9_lista_completa_meio_αβ,0.0,0100101,αβααβαβ,3,0,null
v9_lista_completa_meio_αβ,0.0,0100110,αβααββα,3,0,null
v9_lista_completa_meio_αβ,0.0,0100111,αβααβββ,4,1,null
v9_lista_completa_meio_αβ,0.0,0101000,αβαβααα,2,0,null
v9_lista_completa_meio_αβ,0.0,0101001,αβαβααβ,3,0,null
v9_lista_completa_meio_αβ,0.0,0101010,αβαβαβα,3,1,null
v9_lista_completa_meio_αβ,0.0,0101011,αβαβαββ,4,1,null
v9_lista_completa_meio_αβ,0.0,0101100,αβαββαα,3,1,null
v9_lista_completa_meio_αβ,0.0,0101101,αβαββαβ,4,1,null
v9_lista_completa_meio_αβ,0.0,0101110,αβαβββα,4,1,null
v9_lista_completa_meio_αβ,0.0,0101111,αβαββββ,5,1,null
v9_lista_completa_meio_αβ,0.0,0110000,αββαααα,2,0,null
v9_lista_completa_meio_αβ,0.0,0110001,αββαααβ,3,0,null
v9_lista_completa_meio_αβ,0.0,0110010,αββααβα,3,0,null
v9_lista_completa_meio_αβ,0.0,0110011,αββααββ,4,1,null
