variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v21_zero_shot_cot_yesno,0.0,0000000,yesyesyesyesyesyesyes,0,1
v21_zero_shot_cot_yesno,0.0,0000001,yesyesyesyesyesyesno,1,1
v21_zero_shot_cot_yesno,0.0,0000010,yesyesyesyesyesnoyes,1,1
v21_zero_shot_cot_yesno,0.0,0000011,yesyesyesyesyesnono,2,1
v21_zero_shot_cot_yesno,0.0,0000100,yesyesyesyesnoyesyes,1,1
v21_zero_shot_cot_yesno,0.0,0000101,yesyesyesyesnoyesno,2,1
v21_zero_shot_cot_yesno,0.0,0000110,yesyesyesyesnonoyes,2,1
v21_zero_shot_cot_yesno,0.0,0000111,yesyesyesyesnonono,3,1
v21_zero_shot_cot_yesno,0.0,0001000,yesyesyesnoyesyesyes,1,1
v21_zero_shot_cot_yesno,0.0,0001001,yesyesyesnoyesyesno,2,0
v21_zero_shot_cot_yesno,0.0,0001010,yesyesyesnoyesnoyes,2,1
v21_zero_shot_cot_yesno,0.0,0001011,yesyesyesnoyesnono,3,0
v21_zero_shot_cot_yesno,0.0,0001100,yesyesyesnonoyesyes,2,0
v21_zero_shot_cot_yesno,0.0,0001101,yesyesyesnonoyesno,3,0
v21_zero_shot_cot_yesno,0.0,0001110,yesyesyesnononoyes,3,1
v21_zero_shot_cot_yesno,0.0,0001111,yesyesyesnononono,4,0
v21_zero_shot_cot_yesno,0.0,0010000,yesyesnoyesyesyesyes,1,1
v21_zero_shot_cot_yesno,0.0,0010001,yesyesnoyesyesyesno,2,1
v21_zero_shot_cot_yesno,0.0,0010010,yesyesnoyesyesnoyes,2,1
v21_zero_shot_cot_yesno,0.0,0010011,yesyesnoyesyesnono,3,1
v21_zero_shot_cot_yesno,0.0,0010100,yesyesnoyesnoyesyes,2,1
v21_zero_shot_cot_yesno,0.0,0010101,yesyesnoyesnoyesno,3,1
v21_zero_shot_cot_yesno,0.0,0010110,yesyesnoyesnonoyes,3,1
v21_zero_shot_cot_yesno,0.0,0010111,yesyesnoyesnonono,4,1
v21_zero_shot_cot_yesno,0.0,0011000,yesyesnonoyesyesyes,2,0
v21_zero_shot_cot_yesno,0.0,0011001,yesyesnonoyesyesno,3,0
v21_zero_shot_cot_yesno,0.0,0011010,yesyesnonoyesnoyes,3,0
v21_zero_shot_cot_yesno,0.0,0011011,yesyesnonoyesnono,4,0
v21_zero_shot_cot_yesno,0.0,0011100,yesyesnononoyesyes,3,1
v21_zero_shot_cot_yesno,0.0,0011101,yesyesnononoyesno,4,0
v21_zero_shot_cot_yesno,0.0,0011110,yesyesnonononoyes,4,0
v21_zero_shot_cot_yesno,0.0,0011111,yesyesnonononono,5,0
v21_zero_shot_cot_yesno,0.0,0100000,yesnoyesyesyesyesyes,1,1
v21_zero_shot_cot_yesno,0.0,0100001,yesnoyesyesyesyesno,2,1
v21_zero_shot_cot_yesno,0.0,0100010,yesnoyesyesyesnoyes,2,1
v21_zero_shot_cot_yesno,0.0,0100011,yesnoyesyesyesnono,3,1
v21_zero_shot_cot_yesno,0.0,0100100,yesnoyesyesnoyesyes,2,1
v21_zero_shot_cot_yesno,0.0,0100101,yesnoyesyesnoyesno,3,1
v21_zero_shot_cot_yesno,0.0,0100110,yesnoyesyesnonoyes,3,1
v21_zero_shot_cot_yesno,0.0,0100111,yesnoyesyesnonono,4,1
v21_zero_shot_cot_yesno,0.0,0101000,yesnoyesnoyesyesyes,2,1
v21_zero_shot_cot_yesno,0.0,0101001,yesnoyesnoyesyesno,3,0
v21_zero_shot_cot_yesno,0.0,0101010,yesnoyesnoyesnoyes,3,0
v21_zero_shot_cot_yesno,0.0,0101011,yesnoyesnoyesnono,4,0
v21_zero_shot_cot_yesno,0.0,0101100,yesnoyesnonoyesyes,3,1
v21_zero_shot_cot_yesno,0.0,0101101,yesnoyesnonoyesno,4,0
v21_zero_shot_cot_yesno,0.0,0101110,yesnoyesnononoyes,4,1
v21_zero_shot_cot_yesno,0.0,0101111,yesnoyesnononono,5,0
v21_zero_shot_cot_yesno,0.0,0110000,yesnonoyesyesyesyes,2,1
v21_zero_shot_cot_yesno,0.0,0110001,yesnonoyesyesyesno,3,1
v21_zero_shot_cot_yesno,0.0,0110010,yesnonoyesyesnoyes,3,1
v21_zero_shot_cot_yesno,0.0,0110011,yesnonoyesyesnono,4,1
v21_zero_shot_cot_yesno,0.0,0110100,yesnonoyesnoyesyes,3,1
v21_zero_shot_cot_yesno,0.0,0110101,yesnonoyesnoyesno,4,1
v21_zero_shot_cot_yesno,0.0,0110110,yesnonoyesnonoyes,4,1
v21_zero_shot_cot_yesno,0.0,0110111,yesnonoyesnonono,5,0
v21_zero_shot_cot_yesno,0.0,0111000,yesnononoyesyesyes,3,1
v21_zero_shot_cot_yesno,0.0,0111001,yesnononoyesyesno,4,0
v21_zero_shot_cot_yesno,0.0,0111010,yesnononoyesnoyes,4,0
v21_zero_shot_cot_yesno,0.0,0111011,yesnononoyesnono,5,0
v21_zero_shot_cot_yesno,0.0,0111100,yesnonononoyesyes,4,0
