variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha,logprobs_json
v21_zero_shot_cot_△○,0.0,0000000,△△△△△△△,0,0,null
v21_zero_shot_cot_△○,0.0,0000001,△△△△△△○,1,0,null
v21_zero_shot_cot_△○,0.0,0000010,△△△△△○△,1,0,null
v21_zero_shot_cot_△○,0.0,0000011,△△△△△○○,2,0,null
v21_zero_shot_cot_△○,0.0,0000100,△△△△○△△,1,0,null
v21_zero_shot_cot_△○,0.0,0000101,△△△△○△○,2,0,null
v21_zero_shot_cot_△○,0.0,0000110,△△△△○○△,2,0,null
v21_zero_shot_cot_△○,0.0,0000111,△△△△○○○,3,0,null
v21_zero_shot_cot_△○,0.0,0001000,△△△○△△△,1,0,null
v21_zero_shot_cot_△○,0.0,0001001,△△△○△△○,2,0,null
v21_zero_shot_cot_△○,0.0,0001010,△△△○△○△,2,0,null
v21_zero_shot_cot_△○,0.0,0001011,△△△○△○○,3,0,null
v21_zero_shot_cot_△○,0.0,0001100,△△△○○△△,2,0,null
v21_zero_shot_cot_△○,0.0,0001101,△△△○○△○,3,0,null
v21_zero_shot_cot_△○,0.0,0001110,△△△○○○△,3,0,null
v21_zero_shot_cot_△○,0.0,0001111,△△△○○○○,4,1,null
v21_zero_shot_cot_△○,0.0,0010000,△△○△△△△,1,0,null
v21_zero_shot_cot_△○,0.0,0010001,△△○△△△○,2,0,null
v21_zero_shot_cot_△○,0.0,0010010,△△○△△○△,2,0,null
v21_zero_shot_cot_△○,0.0,0010011,△△○△△○○,3,0,null
v21_zero_shot_cot_△○,0.0,0010100,△△○△○△△,2,0,null
v21_zero_shot_cot_△○,0.0,0010101,△△○△○△○,3,0,null
v21_zero_shot_cot_△○,0.0,0010110,△△○△○○△,3,0,null
v21_zero_shot_cot_△○,0.0,0010111,△△○△○○○,4,1,null
v21_zero_shot_cot_△○,0.0,0011000,△△○○△△△,2,0,null
v21_zero_shot_cot_△○,0.0,0011001,△△○○△△○,3,0,null
v21_zero_shot_cot_△○,0.0,0011010,△△○○△○△,3,0,null
v21_zero_shot_cot_△○,0.0,0011011,△△○○△○○,4,1,null
v21_zero_shot_cot_△○,0.0,0011100,△△○○○△△,3,0,null
v21_zero_shot_cot_△○,0.0,0011101,△△○○○△○,4,1,null
v21_zero_shot_cot_△○,0.0,0011110,△△○○○○△,4,1,null
v21_zero_shot_cot_△○,0.0,0011111,△△○○○○○,5,1,null
v21_zero_shot_cot_△○,0.0,0100000,△○△△△△△,1,0,null
v21_zero_shot_cot_△○,0.0,0100001,△○△△△△○,2,0,null
v21_zero_shot_cot_△○,0.0,0100010,△○△△△○△,2,0,null
v21_zero_shot_cot_△○,0.0,0100011,△○△△△○○,3,0,null
v21_zero_shot_cot_△○,0.0,0100100,△○△△○△△,2,0,null
v21_zero_shot_cot_△○,0.0,0100101,△○△△○△○,3,0,null
v21_zero_shot_cot_△○,0.0,0100110,△○△△○○△,3,0,null
v21_zero_shot_cot_△○,0.0,0100111,△○△△○○○,4,1,null
v21_zero_shot_cot_△○,0.0,0101000,△○△○△△△,2,0,null
v21_zero_shot_cot_△○,0.0,0101001,△○△○△△○,3,0,null
v21_zero_shot_cot_△○,0.0,0101010,△○△○△○△,3,0,null
v21_zero_shot_cot_△○,0.0,0101011,△○△○△○○,4,1,null
v21_zero_shot_cot_△○,0.0,0101100,△○△○○△△,3,0,null
v21_zero_shot_cot_△○,0.0,0101101,△○△○○△○,4,1,null
v21_zero_shot_cot_△○,0.0,0101110,△○△○○○△,4,1,null
v21_zero_shot_cot_△○,0.0,0101111,△○△○○○○,5,1,null
v21_zero_shot_cot_△○,0.0,0110000,△○○△△△△,2,0,null
v21_zero_shot_cot_△○,0.0,0110001,△○○△△△○,3,0,null
v21_zero_shot_cot_△○,0.0,0110010,△○○△△○△,3,0,null
v21_zero_shot_cot_△○,0.0,0110011,△○○△△○○,4,1,null
v21_zero_shot_cot_△○,0.0,0110100,△○○△○△△,3,0,null
v21_zero_shot_cot_△○,0.0,0110101,△○○△○△○,4,1,null
v21_zero_shot_cot_△○,0.0,0110110,△○○△○○△,4,1,null
v21_zero_shot_cot_△○,0.0,0110111,△○○△○○○,5,1,null
v21_zero_shot_cot_△○,0.0,0111000,△○○○△△△,3,0,null
v21_zero_shot_cot_△○,0.0,0111001,△○○○△△○,4,1,null
v21_zero_shot_cot_△○,0.0,0111010,△○○○△○△,4,1,null
v21_zero_shot_cot_△○,0.0,0111011,△○○○△○○,5,1,null
v21_zero_shot_cot_△○,0.0,0111100,△○○○○△△,4,1,null
v21_zero_shot_cot_△○,0.0,0111101,△○○○○△○,5,1,null
v21_zero_shot_cot_△○,0.0,0111110,△○○○○○△,5,1,null
v21_zero_shot_cot_△○,0.0,0111111,△○○○○○○,6,1,null
