variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v9_lista_completa_meio_ab,0.0,00000000000,aaaaaaaaaaa,0,0
v9_lista_completa_meio_ab,0.0,00000000001,aaaaaaaaaab,1,0
v9_lista_completa_meio_ab,0.0,00000000010,aaaaaaaaaba,1,0
v9_lista_completa_meio_ab,0.0,00000000011,aaaaaaaaabb,2,0
v9_lista_completa_meio_ab,0.0,00000000100,aaaaaaaabaa,1,0
v9_lista_completa_meio_ab,0.0,00000000101,aaaaaaaabab,2,0
v9_lista_completa_meio_ab,0.0,00000000110,aaaaaaaabba,2,0
v9_lista_completa_meio_ab,0.0,00000000111,aaaaaaaabbb,3,0
v9_lista_completa_meio_ab,0.0,00000001000,aaaaaaabaaa,1,0
v9_lista_completa_meio_ab,0.0,00000001001,aaaaaaabaab,2,0
v9_lista_completa_meio_ab,0.0,00000001010,aaaaaaababa,2,0
v9_lista_completa_meio_ab,0.0,00000001011,aaaaaaababb,3,0
v9_lista_completa_meio_ab,0.0,00000001100,aaaaaaabbaa,2,0
v9_lista_completa_meio_ab,0.0,00000001101,aaaaaaabbab,3,0
v9_lista_completa_meio_ab,0.0,00000001110,aaaaaaabbba,3,0
v9_lista_completa_meio_ab,0.0,00000001111,aaaaaaabbbb,4,0
v9_lista_completa_meio_ab,0.0,00000010000,aaaaaabaaaa,1,0
v9_lista_completa_meio_ab,0.0,00000010001,aaaaaabaaab,2,0
v9_lista_completa_meio_ab,0.0,00000010010,aaaaaabaaba,2,0
v9_lista_completa_meio_ab,0.0,00000010011,aaaaaabaabb,3,0
v9_lista_completa_meio_ab,0.0,00000010100,aaaaaababaa,2,0
v9_lista_completa_meio_ab,0.0,00000010101,aaaaaababab,3,0
v9_lista_completa_meio_ab,0.0,00000010110,aaaaaababba,3,0
v9_lista_completa_meio_ab,0.0,00000010111,aaaaaababbb,4,0
v9_lista_completa_meio_ab,0.0,00000011000,aaaaaabbaaa,2,0
v9_lista_completa_meio_ab,0.0,00000011001,aaaaaabbaab,3,0
v9_lista_completa_meio_ab,0.0,00000011010,aaaaaabbaba,3,0
v9_lista_completa_meio_ab,0.0,00000011011,aaaaaabbabb,4,0
v9_lista_completa_meio_ab,0.0,00000011100,aaaaaabbbaa,3,0
v9_lista_completa_meio_ab,0.0,00000011101,aaaaaabbbab,4,0
v9_lista_completa_meio_ab,0.0,00000011110,aaaaaabbbba,4,0
v9_lista_completa_meio_ab,0.0,00000011111,aaaaaabbbbb,5,0
v9_lista_completa_meio_ab,0.0,00000100000,aaaaabaaaaa,1,0
v9_lista_completa_meio_ab,0.0,00000100001,aaaaabaaaab,2,1
v9_lista_completa_meio_ab,0.0,00000100010,aaaaabaaaba,2,1
v9_lista_completa_meio_ab,0.0,00000100011,aaaaabaaabb,3,1
v9_lista_completa_meio_ab,0.0,00000100100,aaaaabaabaa,2,1
v9_lista_completa_meio_ab,0.0,00000100101,aaaaabaabab,3,1
v9_lista_completa_meio_ab,0.0,00000100110,aaaaabaabba,3,1
v9_lista_completa_meio_ab,0.0,00000100111,aaaaabaabbb,4,1
v9_lista_completa_meio_ab,0.0,00000101000,aaaaababaaa,2,1
v9_lista_completa_meio_ab,0.0,00000101001,aaaaababaab,3,1
v9_lista_completa_meio_ab,0.0,00000101010,aaaaabababa,3,1
v9_lista_completa_meio_ab,0.0,00000101011,aaaaabababb,4,1
v9_lista_completa_meio_ab,0.0,00000101100,aaaaababbaa,3,1
v9_lista_completa_meio_ab,0.0,00000101101,aaaaababbab,4,1
v9_lista_completa_meio_ab,0.0,00000101110,aaaaababbba,4,1
v9_lista_completa_meio_ab,0.0,00000101111,aaaaababbbb,5,1
v9_lista_completa_meio_ab,0.0,00000110000,aaaaabbaaaa,2,1
v9_lista_completa_meio_ab,0.0,00000110001,aaaaabbaaab,3,1
v9_lista_completa_meio_ab,0.0,00000110010,aaaaabbaaba,3,1
v9_lista_completa_meio_ab,0.0,00000110011,aaaaabbaabb,4,1
v9_lista_completa_meio_ab,0.0,00000110100,aaaaabbabaa,3,1
v9_lista_completa_meio_ab,0.0,00000110101,aaaaabbabab,4,1
v9_lista_completa_meio_ab,0.0,00000110110,aaaaabbabba,4,1
v9_lista_completa_meio_ab,0.0,00000110111,aaaaabbabbb,5,1
v9_lista_completa_meio_ab,0.0,00000111000,aaaaabbbaaa,3,1
v9_lista_completa_meio_ab,0.0,00000111001,aaaaabbbaab,4,1
v9_lista_completa_meio_ab,0.0,00000111010,aaaaabbbaba,4,1
v9_lista_completa_meio_ab,0.0,00000111011,aaaaabbbabb,5,1
v9_lista_completa_meio_ab,0.0,00000111100,aaaaabbbbaa,4,1
v9_lista_completa_meio_ab,0.0,00000111101,aaaaabbbbab,5,1
v9_lista_completa_meio_ab,0.0,00000111110,aaaaabbbbba,5,1
v9_lista_completa_meio_ab,0.0,00000111111,aaaaabbbbbb,6,1
v9_lista_completa_meio_ab,0.0,00001000000,aaaabaaaaaa,1,0
v9_lista_completa_meio_ab,0.0,00001000001,aaaabaaaaab,2,0
v9_lista_completa_meio_ab,0.0,00001000010,aaaabaaaaba,2,0
v9_lista_completa_meio_ab,0.0,00001000011,aaaabaaaabb,3,0
v9_lista_completa_meio_ab,0.0,00001000100,aaaabaaabaa,2,0
v9_lista_completa_meio_ab,0.0,00001000101,aaaabaaabab,3,0
v9_lista_completa_meio_ab,0.0,00001000110,aaaabaaabba,3,0
v9_lista_completa_meio_ab,0.0,00001000111,aaaabaaabbb,4,0
v9_lista_completa_meio_ab,0.0,00001001000,aaaabaabaaa,2,0
v9_lista_completa_meio_ab,0.0,00001001001,aaaabaabaab,3,0
v9_lista_completa_meio_ab,0.0,00001001010,aaaabaababa,3,0
v9_lista_completa_meio_ab,0.0,00001001011,aaaabaababb,4,0
v9_lista_completa_meio_ab,0.0,00001001100,aaaabaabbaa,3,0
v9_lista_completa_meio_ab,0.0,00001001101,aaaabaabbab,4,0
v9_lista_completa_meio_ab,0.0,00001001110,aaaabaabbba,4,0
