variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v9_lista_completa_meio_kz,0.0,000000000,kkkkkkkkk,0,0
v9_lista_completa_meio_kz,0.0,000000001,kkkkkkkkz,1,0
v9_lista_completa_meio_kz,0.0,000000010,kkkkkkkzk,1,1
v9_lista_completa_meio_kz,0.0,000000011,kkkkkkkzz,2,0
v9_lista_completa_meio_kz,0.0,000000100,kkkkkkzkk,1,0
v9_lista_completa_meio_kz,0.0,000000101,kkkkkkzkz,2,1
v9_lista_completa_meio_kz,0.0,000000110,kkkkkkzzk,2,0
v9_lista_completa_meio_kz,0.0,000000111,kkkkkkzzz,3,0
v9_lista_completa_meio_kz,0.0,000001000,kkkkkzkkk,1,0
v9_lista_completa_meio_kz,0.0,000001001,kkkkkzkkz,2,1
v9_lista_completa_meio_kz,0.0,000001010,kkkkkzkzk,2,0
v9_lista_completa_meio_kz,0.0,000001011,kkkkkzkzz,3,1
v9_lista_completa_meio_kz,0.0,000001100,kkkkkzzkk,2,0
v9_lista_completa_meio_kz,0.0,000001101,kkkkkzzkz,3,0
v9_lista_completa_meio_kz,0.0,000001110,kkkkkzzzk,3,1
v9_lista_completa_meio_kz,0.0,000001111,kkkkkzzzz,4,1
v9_lista_completa_meio_kz,0.0,000010000,kkkkzkkkk,1,0
v9_lista_completa_meio_kz,0.0,000010001,kkkkzkkkz,2,0
v9_lista_completa_meio_kz,0.0,000010010,kkkkzkkzk,2,0
v9_lista_completa_meio_kz,0.0,000010011,kkkkzkkzz,3,0
v9_lista_completa_meio_kz,0.0,000010100,kkkkzkzkk,2,0
v9_lista_completa_meio_kz,0.0,000010101,kkkkzkzkz,3,0
v9_lista_completa_meio_kz,0.0,000010110,kkkkzkzzk,3,0
v9_lista_completa_meio_kz,0.0,000010111,kkkkzkzzz,4,0
v9_lista_completa_meio_kz,0.0,000011000,kkkkzzkkk,2,0
v9_lista_completa_meio_kz,0.0,000011001,kkkkzzkkz,3,0
v9_lista_completa_meio_kz,0.0,000011010,kkkkzzkzk,3,0
v9_lista_completa_meio_kz,0.0,000011011,kkkkzzkzz,4,0
v9_lista_completa_meio_kz,0.0,000011100,kkkkzzzkk,3,0
v9_lista_completa_meio_kz,0.0,000011101,kkkkzzzkz,4,0
v9_lista_completa_meio_kz,0.0,000011110,kkkkzzzzk,4,0
v9_lista_completa_meio_kz,0.0,000011111,kkkkzzzzz,5,0
v9_lista_completa_meio_kz,0.0,000100000,kkkzkkkkk,1,0
v9_lista_completa_meio_kz,0.0,000100001,kkkzkkkkz,2,1
v9_lista_completa_meio_kz,0.0,000100010,kkkzkkkzk,2,1
v9_lista_completa_meio_kz,0.0,000100011,kkkzkkkzz,3,0
v9_lista_completa_meio_kz,0.0,000100100,kkkzkkzkk,2,0
v9_lista_completa_meio_kz,0.0,000100101,kkkzkkzkz,3,0
v9_lista_completa_meio_kz,0.0,000100110,kkkzkkzzk,3,0
v9_lista_completa_meio_kz,0.0,000100111,kkkzkkzzz,4,1
v9_lista_completa_meio_kz,0.0,000101000,kkkzkzkkk,2,0
v9_lista_completa_meio_kz,0.0,000101001,kkkzkzkkz,3,1
v9_lista_completa_meio_kz,0.0,000101010,kkkzkzkzk,3,0
v9_lista_completa_meio_kz,0.0,000101011,kkkzkzkzz,4,1
v9_lista_completa_meio_kz,0.0,000101100,kkkzkzzkk,3,0
v9_lista_completa_meio_kz,0.0,000101101,kkkzkzzkz,4,1
v9_lista_completa_meio_kz,0.0,000101110,kkkzkzzzk,4,1
v9_lista_completa_meio_kz,0.0,000101111,kkkzkzzzz,5,1
v9_lista_completa_meio_kz,0.0,000110000,kkkzzkkkk,2,0
v9_lista_completa_meio_kz,0.0,000110001,kkkzzkkkz,3,0
v9_lista_completa_meio_kz,0.0,000110010,kkkzzkkzk,3,0
v9_lista_completa_meio_kz,0.0,000110011,kkkzzkkzz,4,0
v9_lista_completa_meio_kz,0.0,000110100,kkkzzkzkk,3,0
v9_lista_completa_meio_kz,0.0,000110101,kkkzzkzkz,4,0
v9_lista_completa_meio_kz,0.0,000110110,kkkzzkzzk,4,0
v9_lista_completa_meio_kz,0.0,000110111,kkkzzkzzz,5,0
v9_lista_completa_meio_kz,0.0,000111000,kkkzzzkkk,3,0
v9_lista_completa_meio_kz,0.0,000111001,kkkzzzkkz,4,0
v9_lista_completa_meio_kz,0.0,000111010,kkkzzzkzk,4,0
v9_lista_completa_meio_kz,0.0,000111011,kkkzzzkzz,5,0
v9_lista_completa_meio_kz,0.0,000111100,kkkzzzzkk,4,0
v9_lista_completa_meio_kz,0.0,000111101,kkkzzzzkz,5,0
v9_lista_completa_meio_kz,0.0,000111110,kkkzzzzzk,5,0
v9_lista_completa_meio_kz,0.0,000111111,kkkzzzzzz,6,0
v9_lista_completa_meio_kz,0.0,001000000,kkzkkkkkk,1,0
v9_lista_completa_meio_kz,0.0,001000001,kkzkkkkkz,2,1
v9_lista_completa_meio_kz,0.0,001000010,kkzkkkkzk,2,1
v9_lista_completa_meio_kz,0.0,001000011,kkzkkkkzz,3,1
v9_lista_completa_meio_kz,0.0,001000100,kkzkkkzkk,2,1
v9_lista_completa_meio_kz,0.0,001000101,kkzkkkzkz,3,1
v9_lista_completa_meio_kz,0.0,001000110,kkzkkkzzk,3,1
