variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v9_lista_completa_meio_ab,0.0,0000000,aaaaaaa,0,0
v9_lista_completa_meio_ab,0.0,0000001,aaaaaab,1,0
v9_lista_completa_meio_ab,0.0,0000010,aaaaaba,1,0
v9_lista_completa_meio_ab,0.0,0000011,aaaaabb,2,0
v9_lista_completa_meio_ab,0.0,0000100,aaaabaa,1,0
v9_lista_completa_meio_ab,0.0,0000101,aaaabab,2,0
v9_lista_completa_meio_ab,0.0,0000110,aaaabba,2,0
v9_lista_completa_meio_ab,0.0,0000111,aaaabbb,3,0
v9_lista_completa_meio_ab,0.0,0001000,aaabaaa,1,1
v9_lista_completa_meio_ab,0.0,0001001,aaabaab,2,1
v9_lista_completa_meio_ab,0.0,0001010,aaababa,2,1
v9_lista_completa_meio_ab,0.0,0001011,aaababb,3,1
v9_lista_completa_meio_ab,0.0,0001100,aaabbaa,2,1
v9_lista_completa_meio_ab,0.0,0001101,aaabbab,3,1
v9_lista_completa_meio_ab,0.0,0001110,aaabbba,3,1
v9_lista_completa_meio_ab,0.0,0001111,aaabbbb,4,1
v9_lista_completa_meio_ab,0.0,0010000,aabaaaa,1,0
v9_lista_completa_meio_ab,0.0,0010001,aabaaab,2,0
v9_lista_completa_meio_ab,0.0,0010010,aabaaba,2,0
v9_lista_completa_meio_ab,0.0,0010011,aabaabb,3,0
v9_lista_completa_meio_ab,0.0,0010100,aababaa,2,0
v9_lista_completa_meio_ab,0.0,0010101,aababab,3,0
v9_lista_completa_meio_ab,0.0,0010110,aababba,3,0
v9_lista_completa_meio_ab,0.0,0010111,aababbb,4,0
v9_lista_completa_meio_ab,0.0,0011000,aabbaaa,2,1
v9_lista_completa_meio_ab,0.0,0011001,aabbaab,3,1
v9_lista_completa_meio_ab,0.0,0011010,aabbaba,3,1
v9_lista_completa_meio_ab,0.0,0011011,aabbabb,4,1
v9_lista_completa_meio_ab,0.0,0011100,aabbbaa,3,1
v9_lista_completa_meio_ab,0.0,0011101,aabbbab,4,1
v9_lista_completa_meio_ab,0.0,0011110,aabbbba,4,1
v9_lista_completa_meio_ab,0.0,0011111,aabbbbb,5,1
v9_lista_completa_meio_ab,0.0,0100000,abaaaaa,1,0
v9_lista_completa_meio_ab,0.0,0100001,abaaaab,2,0
v9_lista_completa_meio_ab,0.0,0100010,abaaaba,2,0
v9_lista_completa_meio_ab,0.0,0100011,abaaabb,3,0
v9_lista_completa_meio_ab,0.0,0100100,abaabaa,2,0
v9_lista_completa_meio_ab,0.0,0100101,abaabab,3,0
v9_lista_completa_meio_ab,0.0,0100110,abaabba,3,0
v9_lista_completa_meio_ab,0.0,0100111,abaabbb,4,0
v9_lista_completa_meio_ab,0.0,0101000,ababaaa,2,1
v9_lista_completa_meio_ab,0.0,0101001,ababaab,3,1
v9_lista_completa_meio_ab,0.0,0101010,abababa,3,1
v9_lista_completa_meio_ab,0.0,0101011,abababb,4,1
v9_lista_completa_meio_ab,0.0,0101100,ababbaa,3,1
v9_lista_completa_meio_ab,0.0,0101101,ababbab,4,1
v9_lista_completa_meio_ab,0.0,0101110,ababbba,4,1
v9_lista_completa_meio_ab,0.0,0101111,ababbbb,5,1
v9_lista_completa_meio_ab,0.0,0110000,abbaaaa,2,0
v9_lista_completa_meio_ab,0.0,0110001,abbaaab,3,0
v9_lista_completa_meio_ab,0.0,0110010,abbaaba,3,0
v9_lista_completa_meio_ab,0.0,0110011,abbaabb,4,0
v9_lista_completa_meio_ab,0.0,0110100,abbabaa,3,0
v9_lista_completa_meio_ab,0.0,0110101,abbabab,4,0
v9_lista_completa_meio_ab,0.0,0110110,abbabba,4,0
v9_lista_completa_meio_ab,0.0,0110111,abbabbb,5,1
v9_lista_completa_meio_ab,0.0,0111000,abbbaaa,3,1
v9_lista_completa_meio_ab,0.0,0111001,abbbaab,4,1
v9_lista_completa_meio_ab,0.0,0111010,abbbaba,4,1
v9_lista_completa_meio_ab,0.0,0111011,abbbabb,5,1
v9_lista_completa_meio_ab,0.0,0111100,abbbbaa,4,1
v9_lista_completa_meio_ab,0.0,0111101,abbbbab,5,1
v9_lista_completa_meio_ab,0.0,0111110,abbbbba,5,1
v9_lista_completa_meio_ab,0.0,0111111,abbbbbb,6,1
v9_lista_completa_meio_ab,0.0,1000000,baaaaaa,1,0
v9_lista_completa_meio_ab,0.0,1000001,baaaaab,2,0
v9_lista_completa_meio_ab,0.0,1000010,baaaaba,2,0
v9_lista_completa_meio_ab,0.0,1000011,baaaabb,3,0
v9_lista_completa_meio_ab,0.0,1000100,baaabaa,2,0
v9_lista_completa_meio_ab,0.0,1000101,baaabab,3,0
v9_lista_completa_meio_ab,0.0,1000110,baaabba,3,0
v9_lista_completa_meio_ab,0.0,1000111,baaabbb,4,0
v9_lista_completa_meio_ab,0.0,1001000,baabaaa,2,1
v9_lista_completa_meio_ab,0.0,1001001,baabaab,3,1
v9_lista_completa_meio_ab,0.0,1001010,baababa,3,1
v9_lista_completa_meio_ab,0.0,1001011,baababb,4,1
v9_lista_completa_meio_ab,0.0,1001100,baabbaa,3,1
v9_lista_completa_meio_ab,0.0,1001101,baabbab,4,1
v9_lista_completa_meio_ab,0.0,1001110,baabbba,4,1
v9_lista_completa_meio_ab,0.0,1001111,baabbbb,5,1
v9_lista_completa_meio_ab,0.0,1010000,babaaaa,2,0
v9_lista_completa_meio_ab,0.0,1010001,babaaab,3,0
v9_lista_completa_meio_ab,0.0,1010010,babaaba,3,0
v9_lista_completa_meio_ab,0.0,1010011,babaabb,4,0
v9_lista_completa_meio_ab,0.0,1010100,bababaa,3,0
v9_lista_completa_meio_ab,0.0,1010101,bababab,4,0
v9_lista_completa_meio_ab,0.0,1010110,bababba,4,0
v9_lista_completa_meio_ab,0.0,1010111,bababbb,5,0
v9_lista_completa_meio_ab,0.0,1011000,babbaaa,3,1
v9_lista_completa_meio_ab,0.0,1011001,babbaab,4,1
v9_lista_completa_meio_ab,0.0,1011010,babbaba,4,1
v9_lista_completa_meio_ab,0.0,1011011,babbabb,5,1
v9_lista_completa_meio_ab,0.0,1011100,babbbaa,4,1
v9_lista_completa_meio_ab,0.0,1011101,babbbab,5,1
v9_lista_completa_meio_ab,0.0,1011110,babbbba,5,1
v9_lista_completa_meio_ab,0.0,1011111,babbbbb,6,1
v9_lista_completa_meio_ab,0.0,1100000,bbaaaaa,2,0
v9_lista_completa_meio_ab,0.0,1100001,bbaaaab,3,0
v9_lista_completa_meio_ab,0.0,1100010,bbaaaba,3,0
v9_lista_completa_meio_ab,0.0,1100011,bbaaabb,4,0
v9_lista_completa_meio_ab,0.0,1100100,bbaabaa,3,0
v9_lista_completa_meio_ab,0.0,1100101,bbaabab,4,0
v9_lista_completa_meio_ab,0.0,1100110,bbaabba,4,0
v9_lista_completa_meio_ab,0.0,1100111,bbaabbb,5,0
v9_lista_completa_meio_ab,0.0,1101000,bbabaaa,3,1
v9_lista_completa_meio_ab,0.0,1101001,bbabaab,4,1
v9_lista_completa_meio_ab,0.0,1101010,bbababa,4,1
v9_lista_completa_meio_ab,0.0,1101011,bbababb,5,1
v9_lista_completa_meio_ab,0.0,1101100,bbabbaa,4,1
v9_lista_completa_meio_ab,0.0,1101101,bbabbab,5,1
v9_lista_completa_meio_ab,0.0,1101110,bbabbba,5,1
v9_lista_completa_meio_ab,0.0,1101111,bbabbbb,6,1
v9_lista_completa_meio_ab,0.0,1110000,bbbaaaa,3,0
v9_lista_completa_meio_ab,0.0,1110001,bbbaaab,4,0
v9_lista_completa_meio_ab,0.0,1110010,bbbaaba,4,0
v9_lista_completa_meio_ab,0.0,1110011,bbbaabb,5,0
v9_lista_completa_meio_ab,0.0,1110100,bbbabaa,4,0
v9_lista_completa_meio_ab,0.0,1110101,bbbabab,5,0
v9_lista_completa_meio_ab,0.0,1110110,bbbabba,5,0
v9_lista_completa_meio_ab,0.0,1110111,bbbabbb,6,0
v9_lista_completa_meio_ab,0.0,1111000,bbbbaaa,4,1
v9_lista_completa_meio_ab,0.0,1111001,bbbbaab,5,1
v9_lista_completa_meio_ab,0.0,1111010,bbbbaba,5,1
v9_lista_completa_meio_ab,0.0,1111011,bbbbabb,6,1
v9_lista_completa_meio_ab,0.0,1111100,bbbbbaa,5,1
v9_lista_completa_meio_ab,0.0,1111101,bbbbbab,6,1
v9_lista_completa_meio_ab,0.0,1111110,bbbbbba,6,1
v9_lista_completa_meio_ab,0.0,1111111,bbbbbbb,7,1
