variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v9_lista_completa_meio_yesno,0.0,00000000000,nonononononononononono,0,1
v9_lista_completa_meio_yesno,0.0,00000000001,nonononononononononoyes,1,0
v9_lista_completa_meio_yesno,0.0,00000000010,nononononononononoyesno,1,0
v9_lista_completa_meio_yesno,0.0,00000000011,nononononononononoyesyes,2,0
v9_lista_completa_meio_yesno,0.0,00000000100,nonononononononoyesnono,1,0
v9_lista_completa_meio_yesno,0.0,00000000101,nonononononononoyesnoyes,2,0
v9_lista_completa_meio_yesno,0.0,00000000110,nonononononononoyesyesno,2,0
v9_lista_completa_meio_yesno,0.0,00000000111,nonononononononoyesyesyes,3,0
v9_lista_completa_meio_yesno,0.0,00000001000,nononononononoyesnonono,1,0
v9_lista_completa_meio_yesno,0.0,00000001001,nononononononoyesnonoyes,2,0
v9_lista_completa_meio_yesno,0.0,00000001010,nononononononoyesnoyesno,2,0
v9_lista_completa_meio_yesno,0.0,00000001011,nononononononoyesnoyesyes,3,0
v9_lista_completa_meio_yesno,0.0,00000001100,nononononononoyesyesnono,2,0
v9_lista_completa_meio_yesno,0.0,00000001101,nononononononoyesyesnoyes,3,0
v9_lista_completa_meio_yesno,0.0,00000001110,nononononononoyesyesyesno,3,0
v9_lista_completa_meio_yesno,0.0,00000001111,nononononononoyesyesyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00000010000,nonononononoyesnononono,1,0
v9_lista_completa_meio_yesno,0.0,00000010001,nonononononoyesnononoyes,2,0
v9_lista_completa_meio_yesno,0.0,00000010010,nonononononoyesnonoyesno,2,0
v9_lista_completa_meio_yesno,0.0,00000010011,nonononononoyesnonoyesyes,3,0
v9_lista_completa_meio_yesno,0.0,00000010100,nonononononoyesnoyesnono,2,0
v9_lista_completa_meio_yesno,0.0,00000010101,nonononononoyesnoyesnoyes,3,0
v9_lista_completa_meio_yesno,0.0,00000010110,nonononononoyesnoyesyesno,3,0
v9_lista_completa_meio_yesno,0.0,00000010111,nonononononoyesnoyesyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00000011000,nonononononoyesyesnonono,2,0
v9_lista_completa_meio_yesno,0.0,00000011001,nonononononoyesyesnonoyes,3,0
v9_lista_completa_meio_yesno,0.0,00000011010,nonononononoyesyesnoyesno,3,0
v9_lista_completa_meio_yesno,0.0,00000011011,nonononononoyesyesnoyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00000011100,nonononononoyesyesyesnono,3,0
v9_lista_completa_meio_yesno,0.0,00000011101,nonononononoyesyesyesnoyes,4,0
v9_lista_completa_meio_yesno,0.0,00000011110,nonononononoyesyesyesyesno,4,0
v9_lista_completa_meio_yesno,0.0,00000011111,nonononononoyesyesyesyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00000100000,nononononoyesnonononono,1,0
v9_lista_completa_meio_yesno,0.0,00000100001,nononononoyesnonononoyes,2,0
v9_lista_completa_meio_yesno,0.0,00000100010,nononononoyesnononoyesno,2,0
v9_lista_completa_meio_yesno,0.0,00000100011,nononononoyesnononoyesyes,3,0
v9_lista_completa_meio_yesno,0.0,00000100100,nononononoyesnonoyesnono,2,0
v9_lista_completa_meio_yesno,0.0,00000100101,nononononoyesnonoyesnoyes,3,0
v9_lista_completa_meio_yesno,0.0,00000100110,nononononoyesnonoyesyesno,3,0
v9_lista_completa_meio_yesno,0.0,00000100111,nononononoyesnonoyesyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00000101000,nononononoyesnoyesnonono,2,0
v9_lista_completa_meio_yesno,0.0,00000101001,nononononoyesnoyesnonoyes,3,0
v9_lista_completa_meio_yesno,0.0,00000101010,nononononoyesnoyesnoyesno,3,0
v9_lista_completa_meio_yesno,0.0,00000101011,nononononoyesnoyesnoyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00000101100,nononononoyesnoyesyesnono,3,0
v9_lista_completa_meio_yesno,0.0,00000101101,nononononoyesnoyesyesnoyes,4,0
v9_lista_completa_meio_yesno,0.0,00000101110,nononononoyesnoyesyesyesno,4,0
v9_lista_completa_meio_yesno,0.0,00000101111,nononononoyesnoyesyesyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00000110000,nononononoyesyesnononono,2,0
v9_lista_completa_meio_yesno,0.0,00000110001,nononononoyesyesnononoyes,3,0
v9_lista_completa_meio_yesno,0.0,00000110010,nononononoyesyesnonoyesno,3,0
v9_lista_completa_meio_yesno,0.0,00000110011,nononononoyesyesnonoyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00000110100,nononononoyesyesnoyesnono,3,0
v9_lista_completa_meio_yesno,0.0,00000110101,nononononoyesyesnoyesnoyes,4,0
v9_lista_completa_meio_yesno,0.0,00000110110,nononononoyesyesnoyesyesno,4,0
v9_lista_completa_meio_yesno,0.0,00000110111,nononononoyesyesnoyesyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00000111000,nononononoyesyesyesnonono,3,0
v9_lista_completa_meio_yesno,0.0,00000111001,nononononoyesyesyesnonoyes,4,0
v9_lista_completa_meio_yesno,0.0,00000111010,nononononoyesyesyesnoyesno,4,0
v9_lista_completa_meio_yesno,0.0,00000111011,nononononoyesyesyesnoyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00000111100,nononononoyesyesyesyesnono,4,0
v9_lista_completa_meio_yesno,0.0,00000111101,nononononoyesyesyesyesnoyes,5,0
v9_lista_completa_meio_yesno,0.0,00000111110,nononononoyesyesyesyesyesno,5,0
v9_lista_completa_meio_yesno,0.0,00000111111,nononononoyesyesyesyesyesyes,6,0
v9_lista_completa_meio_yesno,0.0,00001000000,nonononoyesnononononono,1,0
v9_lista_completa_meio_yesno,0.0,00001000001,nonononoyesnononononoyes,2,0
v9_lista_completa_meio_yesno,0.0,00001000010,nonononoyesnonononoyesno,2,0
v9_lista_completa_meio_yesno,0.0,00001000011,nonononoyesnonononoyesyes,3,0
v9_lista_completa_meio_yesno,0.0,00001000100,nonononoyesnononoyesnono,2,0
v9_lista_completa_meio_yesno,0.0,00001000101,nonononoyesnononoyesnoyes,3,0
v9_lista_completa_meio_yesno,0.0,00001000110,nonononoyesnononoyesyesno,3,0
v9_lista_completa_meio_yesno,0.0,00001000111,nonononoyesnononoyesyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00001001000,nonononoyesnonoyesnonono,2,0
v9_lista_completa_meio_yesno,0.0,00001001001,nonononoyesnonoyesnonoyes,3,0
v9_lista_completa_meio_yesno,0.0,00001001010,nonononoyesnonoyesnoyesno,3,0
v9_lista_completa_meio_yesno,0.0,00001001011,nonononoyesnonoyesnoyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00001001100,nonononoyesnonoyesyesnono,3,0
v9_lista_completa_meio_yesno,0.0,00001001101,nonononoyesnonoyesyesnoyes,4,0
v9_lista_completa_meio_yesno,0.0,00001001110,nonononoyesnonoyesyesyesno,4,0
v9_lista_completa_meio_yesno,0.0,00001001111,nonononoyesnonoyesyesyesyes,5,1
v9_lista_completa_meio_yesno,0.0,00001010000,nonononoyesnoyesnononono,2,0
v9_lista_completa_meio_yesno,0.0,00001010001,nonononoyesnoyesnononoyes,3,0
v9_lista_completa_meio_yesno,0.0,00001010010,nonononoyesnoyesnonoyesno,3,0
v9_lista_completa_meio_yesno,0.0,00001010011,nonononoyesnoyesnonoyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00001010100,nonononoyesnoyesnoyesnono,3,0
v9_lista_completa_meio_yesno,0.0,00001010101,nonononoyesnoyesnoyesnoyes,4,1
v9_lista_completa_meio_yesno,0.0,00001010110,nonononoyesnoyesnoyesyesno,4,0
v9_lista_completa_meio_yesno,0.0,00001010111,nonononoyesnoyesnoyesyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00001011000,nonononoyesnoyesyesnonono,3,0
v9_lista_completa_meio_yesno,0.0,00001011001,nonononoyesnoyesyesnonoyes,4,0
v9_lista_completa_meio_yesno,0.0,00001011010,nonononoyesnoyesyesnoyesno,4,0
v9_lista_completa_meio_yesno,0.0,00001011011,nonononoyesnoyesyesnoyesyes,5,1
v9_lista_completa_meio_yesno,0.0,00001011100,nonononoyesnoyesyesyesnono,4,0
v9_lista_completa_meio_yesno,0.0,00001011101,nonononoyesnoyesyesyesnoyes,5,1
v9_lista_completa_meio_yesno,0.0,00001011110,nonononoyesnoyesyesyesyesno,5,0
v9_lista_completa_meio_yesno,0.0,00001011111,nonononoyesnoyesyesyesyesyes,6,1
v9_lista_completa_meio_yesno,0.0,00001100000,nonononoyesyesnonononono,2,0
v9_lista_completa_meio_yesno,0.0,00001100001,nonononoyesyesnonononoyes,3,0
v9_lista_completa_meio_yesno,0.0,00001100010,nonononoyesyesnononoyesno,3,0
v9_lista_completa_meio_yesno,0.0,00001100011,nonononoyesyesnononoyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00001100100,nonononoyesyesnonoyesnono,3,0
v9_lista_completa_meio_yesno,0.0,00001100101,nonononoyesyesnonoyesnoyes,4,0
v9_lista_completa_meio_yesno,0.0,00001100110,nonononoyesyesnonoyesyesno,4,0
v9_lista_completa_meio_yesno,0.0,00001100111,nonononoyesyesnonoyesyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00001101000,nonononoyesyesnoyesnonono,3,0
v9_lista_completa_meio_yesno,0.0,00001101001,nonononoyesyesnoyesnonoyes,4,0
v9_lista_completa_meio_yesno,0.0,00001101010,nonononoyesyesnoyesnoyesno,4,0
v9_lista_completa_meio_yesno,0.0,00001101011,nonononoyesyesnoyesnoyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00001101100,nonononoyesyesnoyesyesnono,4,0
v9_lista_completa_meio_yesno,0.0,00001101101,nonononoyesyesnoyesyesnoyes,5,0
v9_lista_completa_meio_yesno,0.0,00001101110,nonononoyesyesnoyesyesyesno,5,0
v9_lista_completa_meio_yesno,0.0,00001101111,nonononoyesyesnoyesyesyesyes,6,0
v9_lista_completa_meio_yesno,0.0,00001110000,nonononoyesyesyesnononono,3,0
v9_lista_completa_meio_yesno,0.0,00001110001,nonononoyesyesyesnononoyes,4,0
v9_lista_completa_meio_yesno,0.0,00001110010,nonononoyesyesyesnonoyesno,4,0
v9_lista_completa_meio_yesno,0.0,00001110011,nonononoyesyesyesnonoyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00001110100,nonononoyesyesyesnoyesnono,4,0
v9_lista_completa_meio_yesno,0.0,00001110101,nonononoyesyesyesnoyesnoyes,5,0
v9_lista_completa_meio_yesno,0.0,00001110110,nonononoyesyesyesnoyesyesno,5,0
v9_lista_completa_meio_yesno,0.0,00001110111,nonononoyesyesyesnoyesyesyes,6,0
v9_lista_completa_meio_yesno,0.0,00001111000,nonononoyesyesyesyesnonono,4,0
v9_lista_completa_meio_yesno,0.0,00001111001,nonononoyesyesyesyesnonoyes,5,0
v9_lista_completa_meio_yesno,0.0,00001111010,nonononoyesyesyesyesnoyesno,5,0
v9_lista_completa_meio_yesno,0.0,00001111011,nonononoyesyesyesyesnoyesyes,6,0
v9_lista_completa_meio_yesno,0.0,00001111100,nonononoyesyesyesyesyesnono,5,0
v9_lista_completa_meio_yesno,0.0,00001111101,nonononoyesyesyesyesyesnoyes,6,0
v9_lista_completa_meio_yesno,0.0,00001111110,nonononoyesyesyesyesyesyesno,6,0
v9_lista_completa_meio_yesno,0.0,00001111111,nonononoyesyesyesyesyesyesyes,7,0
v9_lista_completa_meio_yesno,0.0,00010000000,nononoyesnonononononono,1,0
v9_lista_completa_meio_yesno,0.0,00010000001,nononoyesnonononononoyes,2,0
v9_lista_completa_meio_yesno,0.0,00010000010,nononoyesnononononoyesno,2,0
v9_lista_completa_meio_yesno,0.0,00010000011,nononoyesnononononoyesyes,3,0
v9_lista_completa_meio_yesno,0.0,00010000100,nononoyesnonononoyesnono,2,0
v9_lista_completa_meio_yesno,0.0,00010000101,nononoyesnonononoyesnoyes,3,0
v9_lista_completa_meio_yesno,0.0,00010000110,nononoyesnonononoyesyesno,3,0
v9_lista_completa_meio_yesno,0.0,00010000111,nononoyesnonononoyesyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00010001000,nononoyesnononoyesnonono,2,0
v9_lista_completa_meio_yesno,0.0,00010001001,nononoyesnononoyesnonoyes,3,0
v9_lista_completa_meio_yesno,0.0,00010001010,nononoyesnononoyesnoyesno,3,0
v9_lista_completa_meio_yesno,0.0,00010001011,nononoyesnononoyesnoyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00010001100,nononoyesnononoyesyesnono,3,0
v9_lista_completa_meio_yesno,0.0,00010001101,nononoyesnononoyesyesnoyes,4,0
v9_lista_completa_meio_yesno,0.0,00010001110,nononoyesnononoyesyesyesno,4,0
v9_lista_completa_meio_yesno,0.0,00010001111,nononoyesnononoyesyesyesyes,5,1
v9_lista_completa_meio_yesno,0.0,00010010000,nononoyesnonoyesnononono,2,0
v9_lista_completa_meio_yesno,0.0,00010010001,nononoyesnonoyesnononoyes,3,0
v9_lista_completa_meio_yesno,0.0,00010010010,nononoyesnonoyesnonoyesno,3,0
v9_lista_completa_meio_yesno,0.0,00010010011,nononoyesnonoyesnonoyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00010010100,nononoyesnonoyesnoyesnono,3,0
v9_lista_completa_meio_yesno,0.0,00010010101,nononoyesnonoyesnoyesnoyes,4,1
v9_lista_completa_meio_yesno,0.0,00010010110,nononoyesnonoyesnoyesyesno,4,0
v9_lista_completa_meio_yesno,0.0,00010010111,nononoyesnonoyesnoyesyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00010011000,nononoyesnonoyesyesnonono,3,0
v9_lista_completa_meio_yesno,0.0,00010011001,nononoyesnonoyesyesnonoyes,4,0
v9_lista_completa_meio_yesno,0.0,00010011010,nononoyesnonoyesyesnoyesno,4,0
v9_lista_completa_meio_yesno,0.0,00010011011,nononoyesnonoyesyesnoyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00010011100,nononoyesnonoyesyesyesnono,4,0
v9_lista_completa_meio_yesno,0.0,00010011101,nononoyesnonoyesyesyesnoyes,5,1
v9_lista_completa_meio_yesno,0.0,00010011110,nononoyesnonoyesyesyesyesno,5,1
v9_lista_completa_meio_yesno,0.0,00010011111,nononoyesnonoyesyesyesyesyes,6,1
v9_lista_completa_meio_yesno,0.0,00010100000,nononoyesnoyesnonononono,2,0
v9_lista_completa_meio_yesno,0.0,00010100001,nononoyesnoyesnonononoyes,3,0
v9_lista_completa_meio_yesno,0.0,00010100010,nononoyesnoyesnononoyesno,3,0
v9_lista_completa_meio_yesno,0.0,00010100011,nononoyesnoyesnononoyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00010100100,nononoyesnoyesnonoyesnono,3,0
v9_lista_completa_meio_yesno,0.0,00010100101,nononoyesnoyesnonoyesnoyes,4,0
v9_lista_completa_meio_yesno,0.0,00010100110,nononoyesnoyesnonoyesyesno,4,0
v9_lista_completa_meio_yesno,0.0,00010100111,nononoyesnoyesnonoyesyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00010101000,nononoyesnoyesnoyesnonono,3,0
v9_lista_completa_meio_yesno,0.0,00010101001,nononoyesnoyesnoyesnonoyes,4,0
v9_lista_completa_meio_yesno,0.0,00010101010,nononoyesnoyesnoyesnoyesno,4,0
v9_lista_completa_meio_yesno,0.0,00010101011,nononoyesnoyesnoyesnoyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00010101100,nononoyesnoyesnoyesyesnono,4,0
v9_lista_completa_meio_yesno,0.0,00010101101,nononoyesnoyesnoyesyesnoyes,5,0
v9_lista_completa_meio_yesno,0.0,00010101110,nononoyesnoyesnoyesyesyesno,5,0
v9_lista_completa_meio_yesno,0.0,00010101111,nononoyesnoyesnoyesyesyesyes,6,0
v9_lista_completa_meio_yesno,0.0,00010110000,nononoyesnoyesyesnononono,3,0
v9_lista_completa_meio_yesno,0.0,00010110001,nononoyesnoyesyesnononoyes,4,0
v9_lista_completa_meio_yesno,0.0,00010110010,nononoyesnoyesyesnonoyesno,4,0
v9_lista_completa_meio_yesno,0.0,00010110011,nononoyesnoyesyesnonoyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00010110100,nononoyesnoyesyesnoyesnono,4,0
v9_lista_completa_meio_yesno,0.0,00010110101,nononoyesnoyesyesnoyesnoyes,5,0
v9_lista_completa_meio_yesno,0.0,00010110110,nononoyesnoyesyesnoyesyesno,5,0
v9_lista_completa_meio_yesno,0.0,00010110111,nononoyesnoyesyesnoyesyesyes,6,0
v9_lista_completa_meio_yesno,0.0,00010111000,nononoyesnoyesyesyesnonono,4,0
v9_lista_completa_meio_yesno,0.0,00010111001,nononoyesnoyesyesyesnonoyes,5,0
v9_lista_completa_meio_yesno,0.0,00010111010,nononoyesnoyesyesyesnoyesno,5,0
v9_lista_completa_meio_yesno,0.0,00010111011,nononoyesnoyesyesyesnoyesyes,6,0
v9_lista_completa_meio_yesno,0.0,00010111100,nononoyesnoyesyesyesyesnono,5,0
v9_lista_completa_meio_yesno,0.0,00010111101,nononoyesnoyesyesyesyesnoyes,6,0
v9_lista_completa_meio_yesno,0.0,00010111110,nononoyesnoyesyesyesyesyesno,6,0
v9_lista_completa_meio_yesno,0.0,00010111111,nononoyesnoyesyesyesyesyesyes,7,0
v9_lista_completa_meio_yesno,0.0,00011000000,nononoyesyesnononononono,2,0
v9_lista_completa_meio_yesno,0.0,00011000001,nononoyesyesnononononoyes,3,0
v9_lista_completa_meio_yesno,0.0,00011000010,nononoyesyesnonononoyesno,3,0
v9_lista_completa_meio_yesno,0.0,00011000011,nononoyesyesnonononoyesyes,4,0
v9_lista_completa_meio_yesno,0.0,00011000100,nononoyesyesnononoyesnono,3,0
v9_lista_completa_meio_yesno,0.0,00011000101,nononoyesyesnononoyesnoyes,4,1
v9_lista_completa_meio_yesno,0.0,00011000110,nononoyesyesnononoyesyesno,4,0
v9_lista_completa_meio_yesno,0.0,00011000111,nononoyesyesnononoyesyesyes,5,1
v9_lista_completa_meio_yesno,0.0,00011001000,nononoyesyesnonoyesnonono,3,0
v9_lista_completa_meio_yesno,0.0,00011001001,nononoyesyesnonoyesnonoyes,4,1
v9_lista_completa_meio_yesno,0.0,00011001010,nononoyesyesnonoyesnoyesno,4,0
v9_lista_completa_meio_yesno,0.0,00011001011,nononoyesyesnonoyesnoyesyes,5,0
v9_lista_completa_meio_yesno,0.0,00011001100,nononoyesyesnonoyesyesnono,4,0
v9_lista_completa_meio_yesno,0.0,00011001101,nononoyesyesnonoyesyesnoyes,5,1
