variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v21_zero_shot_cot,0.0,00000000000,kkkkkkkkkkk,0,0
v21_zero_shot_cot,0.0,00000000001,kkkkkkkkkkz,1,0
v21_zero_shot_cot,0.0,00000000010,kkkkkkkkkzk,1,0
v21_zero_shot_cot,0.0,00000000011,kkkkkkkkkzz,2,0
v21_zero_shot_cot,0.0,00000000100,kkkkkkkkzkk,1,0
v21_zero_shot_cot,0.0,00000000101,kkkkkkkkzkz,2,0
v21_zero_shot_cot,0.0,00000000110,kkkkkkkkzzk,2,0
v21_zero_shot_cot,0.0,00000000111,kkkkkkkkzzz,3,0
v21_zero_shot_cot,0.0,00000001000,kkkkkkkzkkk,1,0
v21_zero_shot_cot,0.0,00000001001,kkkkkkkzkkz,2,0
v21_zero_shot_cot,0.0,00000001010,kkkkkkkzkzk,2,0
v21_zero_shot_cot,0.0,00000001011,kkkkkkkzkzz,3,0
v21_zero_shot_cot,0.0,00000001100,kkkkkkkzzkk,2,0
v21_zero_shot_cot,0.0,00000001101,kkkkkkkzzkz,3,0
v21_zero_shot_cot,0.0,00000001110,kkkkkkkzzzk,3,0
v21_zero_shot_cot,0.0,00000001111,kkkkkkkzzzz,4,0
v21_zero_shot_cot,0.0,00000010000,kkkkkkzkkkk,1,0
v21_zero_shot_cot,0.0,00000010001,kkkkkkzkkkz,2,0
v21_zero_shot_cot,0.0,00000010010,kkkkkkzkkzk,2,0
v21_zero_shot_cot,0.0,00000010011,kkkkkkzkkzz,3,0
v21_zero_shot_cot,0.0,00000010100,kkkkkkzkzkk,2,0
v21_zero_shot_cot,0.0,00000010101,kkkkkkzkzkz,3,0
v21_zero_shot_cot,0.0,00000010110,kkkkkkzkzzk,3,0
v21_zero_shot_cot,0.0,00000010111,kkkkkkzkzzz,4,0
v21_zero_shot_cot,0.0,00000011000,kkkkkkzzkkk,2,0
v21_zero_shot_cot,0.0,00000011001,kkkkkkzzkkz,3,0
v21_zero_shot_cot,0.0,00000011010,kkkkkkzzkzk,3,0
v21_zero_shot_cot,0.0,00000011011,kkkkkkzzkzz,4,0
v21_zero_shot_cot,0.0,00000011100,kkkkkkzzzkk,3,0
v21_zero_shot_cot,0.0,00000011101,kkkkkkzzzkz,4,0
v21_zero_shot_cot,0.0,00000011110,kkkkkkzzzzk,4,0
v21_zero_shot_cot,0.0,00000011111,kkkkkkzzzzz,5,0
v21_zero_shot_cot,0.0,00000100000,kkkkkzkkkkk,1,0
v21_zero_shot_cot,0.0,00000100001,kkkkkzkkkkz,2,0
v21_zero_shot_cot,0.0,00000100010,kkkkkzkkkzk,2,0
v21_zero_shot_cot,0.0,00000100011,kkkkkzkkkzz,3,0
v21_zero_shot_cot,0.0,00000100100,kkkkkzkkzkk,2,0
v21_zero_shot_cot,0.0,00000100101,kkkkkzkkzkz,3,0
v21_zero_shot_cot,0.0,00000100110,kkkkkzkkzzk,3,0
v21_zero_shot_cot,0.0,00000100111,kkkkkzkkzzz,4,0
v21_zero_shot_cot,0.0,00000101000,kkkkkzkzkkk,2,0
v21_zero_shot_cot,0.0,00000101001,kkkkkzkzkkz,3,0
v21_zero_shot_cot,0.0,00000101010,kkkkkzkzkzk,3,0
v21_zero_shot_cot,0.0,00000101011,kkkkkzkzkzz,4,0
v21_zero_shot_cot,0.0,00000101100,kkkkkzkzzkk,3,0
v21_zero_shot_cot,0.0,00000101101,kkkkkzkzzkz,4,0
v21_zero_shot_cot,0.0,00000101110,kkkkkzkzzzk,4,0
v21_zero_shot_cot,0.0,00000101111,kkkkkzkzzzz,5,0
v21_zero_shot_cot,0.0,00000110000,kkkkkzzkkkk,2,0
v21_zero_shot_cot,0.0,00000110001,kkkkkzzkkkz,3,0
v21_zero_shot_cot,0.0,00000110010,kkkkkzzkkzk,3,0
v21_zero_shot_cot,0.0,00000110011,kkkkkzzkkzz,4,0
v21_zero_shot_cot,0.0,00000110100,kkkkkzzkzkk,3,0
v21_zero_shot_cot,0.0,00000110101,kkkkkzzkzkz,4,0
v21_zero_shot_cot,0.0,00000110110,kkkkkzzkzzk,4,0
v21_zero_shot_cot,0.0,00000110111,kkkkkzzkzzz,5,0
v21_zero_shot_cot,0.0,00000111000,kkkkkzzzkkk,3,0
v21_zero_shot_cot,0.0,00000111001,kkkkkzzzkkz,4,0
v21_zero_shot_cot,0.0,00000111010,kkkkkzzzkzk,4,0
v21_zero_shot_cot,0.0,00000111011,kkkkkzzzkzz,5,0
v21_zero_shot_cot,0.0,00000111100,kkkkkzzzzkk,4,0
v21_zero_shot_cot,0.0,00000111101,kkkkkzzzzkz,5,0
v21_zero_shot_cot,0.0,00000111110,kkkkkzzzzzk,5,0
v21_zero_shot_cot,0.0,00000111111,kkkkkzzzzzz,6,0
v21_zero_shot_cot,0.0,00001000000,kkkkzkkkkkk,1,0
v21_zero_shot_cot,0.0,00001000001,kkkkzkkkkkz,2,0
v21_zero_shot_cot,0.0,00001000010,kkkkzkkkkzk,2,0
v21_zero_shot_cot,0.0,00001000011,kkkkzkkkkzz,3,0
v21_zero_shot_cot,0.0,00001000100,kkkkzkkkzkk,2,0
v21_zero_shot_cot,0.0,00001000101,kkkkzkkkzkz,3,0
v21_zero_shot_cot,0.0,00001000110,kkkkzkkkzzk,3,0
v21_zero_shot_cot,0.0,00001000111,kkkkzkkkzzz,4,0
v21_zero_shot_cot,0.0,00001001000,kkkkzkkzkkk,2,0
v21_zero_shot_cot,0.0,00001001001,kkkkzkkzkkz,3,0
v21_zero_shot_cot,0.0,00001001010,kkkkzkkzkzk,3,0
v21_zero_shot_cot,0.0,00001001011,kkkkzkkzkzz,4,0
v21_zero_shot_cot,0.0,00001001100,kkkkzkkzzkk,3,0
v21_zero_shot_cot,0.0,00001001101,kkkkzkkzzkz,4,0
