variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha,logprobs_json
v9_lista_completa_meio_pq,0.0,0000000,ppppppp,0,0,null
v9_lista_completa_meio_pq,0.0,0000001,ppppppq,1,0,null
v9_lista_completa_meio_pq,0.0,0000010,pppppqp,1,0,null
v9_lista_completa_meio_pq,0.0,0000011,pppppqq,2,0,null
v9_lista_completa_meio_pq,0.0,0000100,ppppqpp,1,0,null
v9_lista_completa_meio_pq,0.0,0000101,ppppqpq,2,0,null
v9_lista_completa_meio_pq,0.0,0000110,ppppqqp,2,0,null
v9_lista_completa_meio_pq,0.0,0000111,ppppqqq,3,0,null
v9_lista_completa_meio_pq,0.0,0001000,pppqppp,1,0,null
v9_lista_completa_meio_pq,0.0,0001001,pppqppq,2,0,null
v9_lista_completa_meio_pq,0.0,0001010,pppqpqp,2,0,null
v9_lista_completa_meio_pq,0.0,0001011,pppqpqq,3,0,null
v9_lista_completa_meio_pq,0.0,0001100,pppqqpp,2,0,null
v9_lista_completa_meio_pq,0.0,0001101,pppqqpq,3,0,null
v9_lista_completa_meio_pq,0.0,0001110,pppqqqp,3,0,null
v9_lista_completa_meio_pq,0.0,0001111,pppqqqq,4,1,null
v9_lista_completa_meio_pq,0.0,0010000,ppqpppp,1,0,null
v9_lista_completa_meio_pq,0.0,0010001,ppqpppq,2,0,null
v9_lista_completa_meio_pq,0.0,0010010,ppqppqp,2,0,null
v9_lista_completa_meio_pq,0.0,0010011,ppqppqq,3,0,null
v9_lista_completa_meio_pq,0.0,0010100,ppqpqpp,2,0,null
v9_lista_completa_meio_pq,0.0,0010101,ppqpqpq,3,0,null
v9_lista_completa_meio_pq,0.0,0010110,ppqpqqp,3,0,null
v9_lista_completa_meio_pq,0.0,0010111,ppqpqqq,4,0,null
v9_lista_completa_meio_pq,0.0,0011000,ppqqppp,2,0,null
v9_lista_completa_meio_pq,0.0,0011001,ppqqppq,3,0,null
v9_lista_completa_meio_pq,0.0,0011010,ppqqpqp,3,0,null
v9_lista_completa_meio_pq,0.0,0011011,ppqqpqq,4,1,null
v9_lista_completa_meio_pq,0.0,0011100,ppqqqpp,3,0,null
v9_lista_completa_meio_pq,0.0,0011101,ppqqqpq,4,1,null
v9_lista_completa_meio_pq,0.0,0011110,ppqqqqp,4,1,null
v9_lista_completa_meio_pq,0.0,0011111,ppqqqqq,5,1,null
v9_lista_completa_meio_pq,0.0,0100000,pqppppp,1,0,null
v9_lista_completa_meio_pq,0.0,0100001,pqppppq,2,0,null
v9_lista_completa_meio_pq,0.0,0100010,pqpppqp,2,0,null
v9_lista_completa_meio_pq,0.0,0100011,pqpppqq,3,0,null
v9_lista_completa_meio_pq,0.0,0100100,pqppqpp,2,0,null
v9_lista_completa_meio_pq,0.0,0100101,pqppqpq,3,0,null
v9_lista_completa_meio_pq,0.0,0100110,pqppqqp,3,0,null
v9_lista_completa_meio_pq,0.0,0100111,pqppqqq,4,0,null
v9_lista_completa_meio_pq,0.0,0101000,pqpqppp,2,0,null
v9_lista_completa_meio_pq,0.0,0101001,pqpqppq,3,0,null
v9_lista_completa_meio_pq,0.0,0101010,pqpqpqp,3,0,null
v9_lista_completa_meio_pq,0.0,0101011,pqpqpqq,4,1,null
v9_lista_completa_meio_pq,0.0,0101100,pqpqqpp,3,0,null
v9_lista_completa_meio_pq,0.0,0101101,pqpqqpq,4,1,null
v9_lista_completa_meio_pq,0.0,0101110,pqpqqqp,4,1,null
v9_lista_completa_meio_pq,0.0,0101111,pqpqqqq,5,1,null
v9_lista_completa_meio_pq,0.0,0110000,pqqpppp,2,0,null
v9_lista_completa_meio_pq,0.0,0110001,pqqpppq,3,0,null
v9_lista_completa_meio_pq,0.0,0110010,pqqppqp,3,0,null
v9_lista_completa_meio_pq,0.0,0110011,pqqppqq,4,0,null
v9_lista_completa_meio_pq,0.0,0110100,pqqpqpp,3,0,null
v9_lista_completa_meio_pq,0.0,0110101,pqqpqpq,4,1,null
v9_lista_completa_meio_pq,0.0,0110110,pqqpqqp,4,1,null
v9_lista_completa_meio_pq,0.0,0110111,pqqpqqq,5,1,null
v9_lista_completa_meio_pq,0.0,0111000,pqqqppp,3,0,null
v9_lista_completa_meio_pq,0.0,0111001,pqqqppq,4,1,null
v9_lista_completa_meio_pq,0.0,0111010,pqqqpqp,4,1,null
v9_lista_completa_meio_pq,0.0,0111011,pqqqpqq,5,1,null
v9_lista_completa_meio_pq,0.0,0111100,pqqqqpp,4,1,null
v9_lista_completa_meio_pq,0.0,0111101,pqqqqpq,5,1,null
v9_lista_completa_meio_pq,0.0,0111110,pqqqqqp,5,1,null
v9_lista_completa_meio_pq,0.0,0111111,pqqqqqq,6,1,null
v9_lista_completa_meio_pq,0.0,1000000,qpppppp,1,0,null
v9_lista_completa_meio_pq,0.0,1000001,qpppppq,2,0,null
v9_lista_completa_meio_pq,0.0,1000010,qppppqp,2,0,null
v9_lista_completa_meio_pq,0.0,1000011,qppppqq,3,0,null
