variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v9_lista_completa_meio_⊕⊖,0.0,000000000,⊕⊕⊕⊕⊕⊕⊕⊕⊕,0,0
v9_lista_completa_meio_⊕⊖,0.0,000000001,⊕⊕⊕⊕⊕⊕⊕⊕⊖,1,0
v9_lista_completa_meio_⊕⊖,0.0,000000010,⊕⊕⊕⊕⊕⊕⊕⊖⊕,1,0
v9_lista_completa_meio_⊕⊖,0.0,000000011,⊕⊕⊕⊕⊕⊕⊕⊖⊖,2,0
v9_lista_completa_meio_⊕⊖,0.0,000000100,⊕⊕⊕⊕⊕⊕⊖⊕⊕,1,0
v9_lista_completa_meio_⊕⊖,0.0,000000101,⊕⊕⊕⊕⊕⊕⊖⊕⊖,2,0
v9_lista_completa_meio_⊕⊖,0.0,000000110,⊕⊕⊕⊕⊕⊕⊖⊖⊕,2,0
v9_lista_completa_meio_⊕⊖,0.0,000000111,⊕⊕⊕⊕⊕⊕⊖⊖⊖,3,0
v9_lista_completa_meio_⊕⊖,0.0,000001000,⊕⊕⊕⊕⊕⊖⊕⊕⊕,1,0
v9_lista_completa_meio_⊕⊖,0.0,000001001,⊕⊕⊕⊕⊕⊖⊕⊕⊖,2,0
v9_lista_completa_meio_⊕⊖,0.0,000001010,⊕⊕⊕⊕⊕⊖⊕⊖⊕,2,0
v9_lista_completa_meio_⊕⊖,0.0,000001011,⊕⊕⊕⊕⊕⊖⊕⊖⊖,3,0
v9_lista_completa_meio_⊕⊖,0.0,000001100,⊕⊕⊕⊕⊕⊖⊖⊕⊕,2,0
v9_lista_completa_meio_⊕⊖,0.0,000001101,⊕⊕⊕⊕⊕⊖⊖⊕⊖,3,0
v9_lista_completa_meio_⊕⊖,0.0,000001110,⊕⊕⊕⊕⊕⊖⊖⊖⊕,3,0
v9_lista_completa_meio_⊕⊖,0.0,000001111,⊕⊕⊕⊕⊕⊖⊖⊖⊖,4,0
