variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha,logprobs_json
v9_lista_completa_meio_yesno,0.0,0000000,nonononononono,0,0,null
v9_lista_completa_meio_yesno,0.0,0000001,nonononononoyes,1,0,null
v9_lista_completa_meio_yesno,0.0,0000010,nononononoyesno,1,1,null
v9_lista_completa_meio_yesno,0.0,0000011,nononononoyesyes,2,1,null
v9_lista_completa_meio_yesno,0.0,0000100,nonononoyesnono,1,1,null
v9_lista_completa_meio_yesno,0.0,0000101,nonononoyesnoyes,2,1,null
v9_lista_completa_meio_yesno,0.0,0000110,nonononoyesyesno,2,1,null
v9_lista_completa_meio_yesno,0.0,0000111,nonononoyesyesyes,3,1,null
v9_lista_completa_meio_yesno,0.0,0001000,nononoyesnonono,1,0,null
v9_lista_completa_meio_yesno,0.0,0001001,nononoyesnonoyes,2,1,null
v9_lista_completa_meio_yesno,0.0,0001010,nononoyesnoyesno,2,1,null
v9_lista_completa_meio_yesno,0.0,0001011,nononoyesnoyesyes,3,1,null
v9_lista_completa_meio_yesno,0.0,0001100,nononoyesyesnono,2,1,null
v9_lista_completa_meio_yesno,0.0,0001101,nononoyesyesnoyes,3,1,null
v9_lista_completa_meio_yesno,0.0,0001110,nononoyesyesyesno,3,1,null
v9_lista_completa_meio_yesno,0.0,0001111,nononoyesyesyesyes,4,1,null
v9_lista_completa_meio_yesno,0.0,0010000,nonoyesnononono,1,1,null
v9_lista_completa_meio_yesno,0.0,0010001,nonoyesnononoyes,2,1,null
v9_lista_completa_meio_yesno,0.0,0010010,nonoyesnonoyesno,2,1,null
v9_lista_completa_meio_yesno,0.0,0010011,nonoyesnonoyesyes,3,1,null
v9_lista_completa_meio_yesno,0.0,0010100,nonoyesnoyesnono,2,1,null
v9_lista_completa_meio_yesno,0.0,0010101,nonoyesnoyesnoyes,3,1,null
v9_lista_completa_meio_yesno,0.0,0010110,nonoyesnoyesyesno,3,1,null
v9_lista_completa_meio_yesno,0.0,0010111,nonoyesnoyesyesyes,4,1,null
v9_lista_completa_meio_yesno,0.0,0011000,nonoyesyesnonono,2,1,null
v9_lista_completa_meio_yesno,0.0,0011001,nonoyesyesnonoyes,3,1,null
v9_lista_completa_meio_yesno,0.0,0011010,nonoyesyesnoyesno,3,1,null
v9_lista_completa_meio_yesno,0.0,0011011,nonoyesyesnoyesyes,4,1,null
v9_lista_completa_meio_yesno,0.0,0011100,nonoyesyesyesnono,3,1,null
v9_lista_completa_meio_yesno,0.0,0011101,nonoyesyesyesnoyes,4,1,null
v9_lista_completa_meio_yesno,0.0,0011110,nonoyesyesyesyesno,4,1,null
v9_lista_completa_meio_yesno,0.0,0011111,nonoyesyesyesyesyes,5,1,null
v9_lista_completa_meio_yesno,0.0,0100000,noyesnonononono,1,1,null
v9_lista_completa_meio_yesno,0.0,0100001,noyesnonononoyes,2,1,null
v9_lista_completa_meio_yesno,0.0,0100010,noyesnononoyesno,2,1,null
v9_lista_completa_meio_yesno,0.0,0100011,noyesnononoyesyes,3,1,null
v9_lista_completa_meio_yesno,0.0,0100100,noyesnonoyesnono,2,1,null
v9_lista_completa_meio_yesno,0.0,0100101,noyesnonoyesnoyes,3,1,null
v9_lista_completa_meio_yesno,0.0,0100110,noyesnonoyesyesno,3,1,null
v9_lista_completa_meio_yesno,0.0,0100111,noyesnonoyesyesyes,4,1,null
v9_lista_completa_meio_yesno,0.0,0101000,noyesnoyesnonono,2,1,null
v9_lista_completa_meio_yesno,0.0,0101001,noyesnoyesnonoyes,3,1,null
v9_lista_completa_meio_yesno,0.0,0101010,noyesnoyesnoyesno,3,1,null
v9_lista_completa_meio_yesno,0.0,0101011,noyesnoyesnoyesyes,4,1,null
v9_lista_completa_meio_yesno,0.0,0101100,noyesnoyesyesnono,3,1,null
v9_lista_completa_meio_yesno,0.0,0101101,noyesnoyesyesnoyes,4,1,null
