variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v21_zero_shot_cot_yesno,0.0,000000000,yesyesyesyesyesyesyesyesyes,0,1
v21_zero_shot_cot_yesno,0.0,000000001,yesyesyesyesyesyesyesyesno,1,1
v21_zero_shot_cot_yesno,0.0,000000010,yesyesyesyesyesyesyesnoyes,1,1
v21_zero_shot_cot_yesno,0.0,000000011,yesyesyesyesyesyesyesnono,2,1
v21_zero_shot_cot_yesno,0.0,000000100,yesyesyesyesyesyesnoyesyes,1,1
v21_zero_shot_cot_yesno,0.0,000000101,yesyesyesyesyesyesnoyesno,2,1
v21_zero_shot_cot_yesno,0.0,000000110,yesyesyesyesyesyesnonoyes,2,1
v21_zero_shot_cot_yesno,0.0,000000111,yesyesyesyesyesyesnonono,3,1
v21_zero_shot_cot_yesno,0.0,000001000,yesyesyesyesyesnoyesyesyes,1,1
v21_zero_shot_cot_yesno,0.0,000001001,yesyesyesyesyesnoyesyesno,2,1
v21_zero_shot_cot_yesno,0.0,000001010,yesyesyesyesyesnoyesnoyes,2,1
v21_zero_shot_cot_yesno,0.0,000001011,yesyesyesyesyesnoyesnono,3,1
v21_zero_shot_cot_yesno,0.0,000001100,yesyesyesyesyesnonoyesyes,2,1
v21_zero_shot_cot_yesno,0.0,000001101,yesyesyesyesyesnonoyesno,3,1
v21_zero_shot_cot_yesno,0.0,000001110,yesyesyesyesyesnononoyes,3,1
v21_zero_shot_cot_yesno,0.0,000001111,yesyesyesyesyesnononono,4,1
v21_zero_shot_cot_yesno,0.0,000010000,yesyesyesyesnoyesyesyesyes,1,1
v21_zero_shot_cot_yesno,0.0,000010001,yesyesyesyesnoyesyesyesno,2,1
v21_zero_shot_cot_yesno,0.0,000010010,yesyesyesyesnoyesyesnoyes,2,1
v21_zero_shot_cot_yesno,0.0,000010011,yesyesyesyesnoyesyesnono,3,0
v21_zero_shot_cot_yesno,0.0,000010100,yesyesyesyesnoyesnoyesyes,2,1
