variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v9_lista_completa_meio_αβ,0.0,000000000,ααααααααα,0,0
v9_lista_completa_meio_αβ,0.0,000000001,ααααααααβ,1,0
v9_lista_completa_meio_αβ,0.0,000000010,αααααααβα,1,0
v9_lista_completa_meio_αβ,0.0,000000011,αααααααββ,2,0
v9_lista_completa_meio_αβ,0.0,000000100,ααααααβαα,1,0
v9_lista_completa_meio_αβ,0.0,000000101,ααααααβαβ,2,0
v9_lista_completa_meio_αβ,0.0,000000110,ααααααββα,2,0
v9_lista_completa_meio_αβ,0.0,000000111,ααααααβββ,3,0
v9_lista_completa_meio_αβ,0.0,000001000,αααααβααα,1,0
v9_lista_completa_meio_αβ,0.0,000001001,αααααβααβ,2,0
v9_lista_completa_meio_αβ,0.0,000001010,αααααβαβα,2,0
v9_lista_completa_meio_αβ,0.0,000001011,αααααβαββ,3,0
v9_lista_completa_meio_αβ,0.0,000001100,αααααββαα,2,0
v9_lista_completa_meio_αβ,0.0,000001101,αααααββαβ,3,0
v9_lista_completa_meio_αβ,0.0,000001110,αααααβββα,3,1
v9_lista_completa_meio_αβ,0.0,000001111,αααααββββ,4,1
v9_lista_completa_meio_αβ,0.0,000010000,ααααβαααα,1,0
v9_lista_completa_meio_αβ,0.0,000010001,ααααβαααβ,2,0
v9_lista_completa_meio_αβ,0.0,000010010,ααααβααβα,2,0
v9_lista_completa_meio_αβ,0.0,000010011,ααααβααββ,3,0
v9_lista_completa_meio_αβ,0.0,000010100,ααααβαβαα,2,0
v9_lista_completa_meio_αβ,0.0,000010101,ααααβαβαβ,3,0
v9_lista_completa_meio_αβ,0.0,000010110,ααααβαββα,3,0
v9_lista_completa_meio_αβ,0.0,000010111,ααααβαβββ,4,0
v9_lista_completa_meio_αβ,0.0,000011000,ααααββααα,2,0
v9_lista_completa_meio_αβ,0.0,000011001,ααααββααβ,3,0
v9_lista_completa_meio_αβ,0.0,000011010,ααααββαβα,3,0
v9_lista_completa_meio_αβ,0.0,000011011,ααααββαββ,4,0
v9_lista_completa_meio_αβ,0.0,000011100,ααααβββαα,3,0
v9_lista_completa_meio_αβ,0.0,000011101,ααααβββαβ,4,0
v9_lista_completa_meio_αβ,0.0,000011110,ααααββββα,4,0
v9_lista_completa_meio_αβ,0.0,000011111,ααααβββββ,5,0
v9_lista_completa_meio_αβ,0.0,000100000,αααβααααα,1,0
v9_lista_completa_meio_αβ,0.0,000100001,αααβααααβ,2,0
v9_lista_completa_meio_αβ,0.0,000100010,αααβαααβα,2,0
v9_lista_completa_meio_αβ,0.0,000100011,αααβαααββ,3,0
v9_lista_completa_meio_αβ,0.0,000100100,αααβααβαα,2,0
v9_lista_completa_meio_αβ,0.0,000100101,αααβααβαβ,3,0
v9_lista_completa_meio_αβ,0.0,000100110,αααβααββα,3,0
v9_lista_completa_meio_αβ,0.0,000100111,αααβααβββ,4,1
v9_lista_completa_meio_αβ,0.0,000101000,αααβαβααα,2,0
v9_lista_completa_meio_αβ,0.0,000101001,αααβαβααβ,3,0
v9_lista_completa_meio_αβ,0.0,000101010,αααβαβαβα,3,0
v9_lista_completa_meio_αβ,0.0,000101011,αααβαβαββ,4,0
v9_lista_completa_meio_αβ,0.0,000101100,αααβαββαα,3,0
v9_lista_completa_meio_αβ,0.0,000101101,αααβαββαβ,4,0
v9_lista_completa_meio_αβ,0.0,000101110,αααβαβββα,4,1
v9_lista_completa_meio_αβ,0.0,000101111,αααβαββββ,5,1
v9_lista_completa_meio_αβ,0.0,000110000,αααββαααα,2,0
v9_lista_completa_meio_αβ,0.0,000110001,αααββαααβ,3,0
v9_lista_completa_meio_αβ,0.0,000110010,αααββααβα,3,0
v9_lista_completa_meio_αβ,0.0,000110011,αααββααββ,4,0
v9_lista_completa_meio_αβ,0.0,000110100,αααββαβαα,3,0
v9_lista_completa_meio_αβ,0.0,000110101,αααββαβαβ,4,0
v9_lista_completa_meio_αβ,0.0,000110110,αααββαββα,4,0
v9_lista_completa_meio_αβ,0.0,000110111,αααββαβββ,5,0
v9_lista_completa_meio_αβ,0.0,000111000,αααβββααα,3,0
v9_lista_completa_meio_αβ,0.0,000111001,αααβββααβ,4,0
v9_lista_completa_meio_αβ,0.0,000111010,αααβββαβα,4,0
v9_lista_completa_meio_αβ,0.0,000111011,αααβββαββ,5,0
v9_lista_completa_meio_αβ,0.0,000111100,αααββββαα,4,0
v9_lista_completa_meio_αβ,0.0,000111101,αααββββαβ,5,0
v9_lista_completa_meio_αβ,0.0,000111110,αααβββββα,5,0
v9_lista_completa_meio_αβ,0.0,000111111,αααββββββ,6,0
v9_lista_completa_meio_αβ,0.0,001000000,ααβαααααα,1,0
v9_lista_completa_meio_αβ,0.0,001000001,ααβαααααβ,2,0
