variante,temperatura,configuracao_binaria,configuracao_letras,num_ones,escolha
v9_lista_completa_meio_01,0.0,000000000,000000000,0,0
v9_lista_completa_meio_01,0.0,000000001,000000001,1,0
v9_lista_completa_meio_01,0.0,000000010,000000010,1,0
v9_lista_completa_meio_01,0.0,000000011,000000011,2,0
v9_lista_completa_meio_01,0.0,000000100,000000100,1,0
v9_lista_completa_meio_01,0.0,000000101,000000101,2,0
v9_lista_completa_meio_01,0.0,000000110,000000110,2,0
v9_lista_completa_meio_01,0.0,000000111,000000111,3,0
v9_lista_completa_meio_01,0.0,000001000,000001000,1,0
v9_lista_completa_meio_01,0.0,000001001,000001001,2,0
v9_lista_completa_meio_01,0.0,000001010,000001010,2,0
v9_lista_completa_meio_01,0.0,000001011,000001011,3,0
v9_lista_completa_meio_01,0.0,000001100,000001100,2,0
v9_lista_completa_meio_01,0.0,000001101,000001101,3,0
v9_lista_completa_meio_01,0.0,000001110,000001110,3,0
v9_lista_completa_meio_01,0.0,000001111,000001111,4,0
v9_lista_completa_meio_01,0.0,000010000,000010000,1,0
v9_lista_completa_meio_01,0.0,000010001,000010001,2,0
v9_lista_completa_meio_01,0.0,000010010,000010010,2,0
v9_lista_completa_meio_01,0.0,000010011,000010011,3,0
v9_lista_completa_meio_01,0.0,000010100,000010100,2,0
v9_lista_completa_meio_01,0.0,000010101,000010101,3,0
v9_lista_completa_meio_01,0.0,000010110,000010110,3,0
v9_lista_completa_meio_01,0.0,000010111,000010111,4,0
v9_lista_completa_meio_01,0.0,000011000,000011000,2,0
v9_lista_completa_meio_01,0.0,000011001,000011001,3,0
v9_lista_completa_meio_01,0.0,000011010,000011010,3,0
v9_lista_completa_meio_01,0.0,000011011,000011011,4,0
v9_lista_completa_meio_01,0.0,000011100,000011100,3,0
v9_lista_completa_meio_01,0.0,000011101,000011101,4,0
v9_lista_completa_meio_01,0.0,000011110,000011110,4,0
v9_lista_completa_meio_01,0.0,000011111,000011111,5,0
v9_lista_completa_meio_01,0.0,000100000,000100000,1,0
v9_lista_completa_meio_01,0.0,000100001,000100001,2,0
v9_lista_completa_meio_01,0.0,000100010,000100010,2,0
v9_lista_completa_meio_01,0.0,000100011,000100011,3,0
v9_lista_completa_meio_01,0.0,000100100,000100100,2,0
v9_lista_completa_meio_01,0.0,000100101,000100101,3,0
v9_lista_completa_meio_01,0.0,000100110,000100110,3,0
v9_lista_completa_meio_01,0.0,000100111,000100111,4,0
v9_lista_completa_meio_01,0.0,000101000,000101000,2,0
v9_lista_completa_meio_01,0.0,000101001,000101001,3,0
v9_lista_completa_meio_01,0.0,000101010,000101010,3,0
v9_lista_completa_meio_01,0.0,000101011,000101011,4,0
v9_lista_completa_meio_01,0.0,000101100,000101100,3,0
v9_lista_completa_meio_01,0.0,000101101,000101101,4,0
v9_lista_completa_meio_01,0.0,000101110,000101110,4,0
v9_lista_completa_meio_01,0.0,000101111,000101111,5,1
v9_lista_completa_meio_01,0.0,000110000,000110000,2,0
v9_lista_completa_meio_01,0.0,000110001,000110001,3,0
v9_lista_completa_meio_01,0.0,000110010,000110010,3,0
v9_lista_completa_meio_01,0.0,000110011,000110011,4,0
v9_lista_completa_meio_01,0.0,000110100,000110100,3,0
v9_lista_completa_meio_01,0.0,000110101,000110101,4,0
v9_lista_completa_meio_01,0.0,000110110,000110110,4,0
v9_lista_completa_meio_01,0.0,000110111,000110111,5,0
v9_lista_completa_meio_01,0.0,000111000,000111000,3,0
v9_lista_completa_meio_01,0.0,000111001,000111001,4,0
v9_lista_completa_meio_01,0.0,000111010,000111010,4,0
v9_lista_completa_meio_01,0.0,000111011,000111011,5,0
v9_lista_completa_meio_01,0.0,000111100,000111100,4,0
